#{"t_start": 1788431943.2051246, "env_id": "None"}
r,l,t
1.310222,60,1.102335
5.812536,60,1.912033
8.50829,60,2.782576
-7.395573,60,3.625032
7.786375,60,4.819511
8.042981,60,5.889683
14.239319,60,7.092898
10.707897,60,8.27289
26.660491,60,9.638306
7.595482,60,11.062005
14.629889,60,12.610656
7.374381,60,14.19849
-6.601033,60,15.580798
24.524451,60,17.193592
12.134265,60,18.59075
9.69766,60,19.739667
21.647564,60,20.9929
22.162323,60,22.355067
11.970678,60,23.604831
11.940065,60,25.085876
17.898435,60,26.427697
33.652076,60,27.799266
16.266029,60,29.028211
26.704243,60,30.491738
13.713495,60,32.09924
23.838262,60,33.424353
24.27053,60,34.802909
30.374898,60,36.22138
24.688532,60,37.675696
20.119451,60,39.116969
38.723894,60,40.936327
35.950595,60,42.363272
35.109818,60,43.800277
40.931325,60,45.273652
35.579694,60,46.771862
38.390997,60,48.609378
36.388534,60,50.272728
38.720654,60,51.887284
39.392682,60,53.420029
41.065186,60,55.515401
37.247521,60,57.89507
38.760078,60,60.266134
41.265731,60,62.208
39.378496,60,63.943529
45.228614,60,65.649358
47.4207,60,67.237109
45.906926,60,68.869854
38.951463,60,70.701103
41.807267,60,72.397256
42.585914,60,74.072552
45.564022,60,75.620249
42.796059,60,77.248317
42.355986,60,78.895274
45.84804,60,80.69181
42.659331,60,82.483486
35.259349,60,84.082529
42.71885,60,86.030192
41.563747,60,87.771843
39.998926,60,89.438791
40.263537,60,91.102421
42.101265,60,92.88099
46.143329,60,94.414935
43.583422,60,95.985943
41.318575,60,97.704737
43.923272,60,99.590987
40.85631,60,101.52894
43.388108,60,103.78344
46.285101,60,105.412775
43.091985,60,107.105546
40.848264,60,108.690969
46.137029,60,110.342855
45.885537,60,112.0641
46.944277,60,113.981267
44.178386,60,115.550125
45.644002,60,117.210469
39.29467,60,119.002296
47.498849,60,121.000528
39.641785,60,123.023064
42.749422,60,124.884384
39.683334,60,126.486305
38.326907,60,127.972487
41.319241,60,129.583483
47.020479,60,131.224447
40.466674,60,132.825874
41.564437,60,134.735094
46.816652,60,136.525595
49.630181,60,138.104696
46.130772,60,139.983406
46.132463,60,141.536418
44.764346,60,143.130195
45.576013,60,144.925176
41.747064,60,146.718181
43.226747,60,148.385415
42.768918,60,149.970936
43.702133,60,151.580729
44.365611,60,153.158665
43.512098,60,154.806735
43.089074,60,156.44684
42.36422,60,158.082298
