#{"t_start": 1788431943.4038694, "env_id": "None"}
r,l,t
-18.069053,60,0.908645
-2.703201,60,1.718732
-0.138913,60,2.590255
-1.301787,60,3.431844
-8.969043,60,4.629329
-6.264023,60,5.702667
13.451651,60,6.900493
6.175688,60,8.085371
20.33185,60,9.44562
0.438519,60,10.86917
11.20709,60,12.41808
12.538519,60,14.006091
7.87415,60,15.388493
8.115661,60,17.010732
2.637102,60,18.405581
0.7155,60,19.552627
5.371123,60,20.804811
17.108376,60,22.161632
11.749718,60,23.418604
21.198059,60,24.892648
14.254024,60,26.238569
8.657646,60,27.612996
19.822568,60,28.836971
17.991845,60,30.31181
22.719884,60,31.91077
14.608136,60,33.234927
16.569323,60,34.609852
23.062164,60,36.042718
4.357789,60,37.490535
22.678921,60,38.930529
29.027042,60,40.746875
28.357879,60,42.175544
33.255595,60,43.613576
38.303296,60,45.085228
34.603803,60,46.584124
37.115776,60,48.428939
35.502442,60,50.086159
35.462136,60,51.699797
42.504673,60,53.231818
40.888304,60,55.332218
42.953618,60,57.715862
41.421607,60,60.087793
40.304225,60,62.022017
44.158585,60,63.759312
48.901817,60,65.459781
46.284943,60,67.048281
40.963526,60,68.682473
40.640235,60,70.515699
42.743701,60,72.208591
41.099963,60,73.88475
41.714033,60,75.439636
41.46506,60,77.059234
46.173661,60,78.710054
45.034683,60,80.507824
45.206854,60,82.297936
36.895176,60,83.893875
43.01877,60,85.84063
45.171942,60,87.583407
41.649579,60,89.25645
41.50335,60,90.914093
42.387352,60,92.689562
43.411999,60,94.225594
45.468337,60,95.799914
40.538344,60,97.517611
43.200537,60,99.40401
40.932051,60,101.350907
42.476054,60,103.605832
41.741823,60,105.223274
42.71493,60,106.929152
38.16615,60,108.501725
46.801771,60,110.16716
42.323698,60,111.87901
43.022857,60,113.797431
35.867148,60,115.360946
44.696113,60,117.021603
39.118003,60,118.819955
43.211532,60,120.820828
39.979339,60,122.839175
43.686885,60,124.697181
45.896324,60,126.304227
42.537645,60,127.784729
48.40384,60,129.403795
42.618098,60,131.035613
41.931265,60,132.643878
46.429794,60,134.556943
43.395477,60,136.337208
41.395873,60,137.921532
45.11332,60,139.795022
40.801257,60,141.349577
45.122661,60,142.941931
44.417662,60,144.739215
44.531279,60,146.531805
46.613511,60,148.198074
44.452093,60,149.782814
44.726076,60,151.392313
46.407212,60,152.973217
43.978959,60,154.618893
43.508178,60,156.258531
44.429344,60,157.898787
44.877654,60,159.568857
45.376245,60,161.477254
44.92014,60,163.458625
35.021201,60,165.426094
44.462256,60,167.285973
46.293666,60,169.046957
42.449411,60,170.755507
45.165729,60,172.405159
43.18336,60,173.913304
42.585537,60,175.984887
48.262979,60,177.974521
43.449733,60,179.797936
39.515462,60,182.028246
40.882543,60,184.280211
42.972753,60,186.494402
47.462612,60,188.610051
42.957606,60,190.414146
44.102102,60,192.142519
39.623007,60,194.203681
46.800007,60,195.902076
42.012322,60,197.88333
43.164413,60,199.559393
43.692613,60,201.459124
45.816351,60,203.215962
43.286032,60,204.989786
44.523918,60,206.753254
46.336431,60,208.700913
44.945787,60,210.342896
45.325934,60,212.025968
44.089851,60,213.820312
42.445773,60,215.421
41.870147,60,217.031955
41.568675,60,218.863035
42.811035,60,220.595978
44.408797,60,222.223883
44.580742,60,224.165413
37.872729,60,226.314641
45.187755,60,228.291485
42.183377,60,230.287751
41.321225,60,232.155606
41.560857,60,233.886461
43.038448,60,235.722749
39.121865,60,237.280798
43.29802,60,238.856117
44.401316,60,240.743389
45.399366,60,242.518634
40.602656,60,244.120831
40.721752,60,246.155967
46.22861,60,248.193447
40.12414,60,250.204636
45.278166,60,252.04603
46.569647,60,253.719052
46.469836,60,255.448225
46.397524,60,257.086765
49.892506,60,258.872587
44.892856,60,260.703739
45.265464,60,262.34116
45.261203,60,263.990375
44.7907,60,265.739542
42.569188,60,267.876023
40.45914,60,270.02679
42.088003,60,272.10222
48.589608,60,273.809011
48.367952,60,275.550073
47.549596,60,277.182775
39.808756,60,278.895008
42.100261,60,280.680888
44.749572,60,282.863763
43.570799,60,284.510184
46.811427,60,286.199692
45.498547,60,287.970094
42.723668,60,289.661981
42.701707,60,291.480696
43.75236,60,293.237124
42.323199,60,294.960707
39.622461,60,296.525756
44.567008,60,298.06475
46.789014,60,299.690418
42.935557,60,301.438581
46.619236,60,303.185514
39.430818,60,304.832132
38.168117,60,306.377392
48.856632,60,308.233601
47.62751,60,310.404497
44.387877,60,312.706328
44.694251,60,314.770709
44.713772,60,316.524008
43.554091,60,318.184964
44.290137,60,319.776315
42.405821,60,321.409902
42.016098,60,322.890296
41.584749,60,324.853426
42.606534,60,326.473676
41.348957,60,328.12928
42.906844,60,329.732
44.556062,60,331.831951
48.679298,60,333.941554
47.853034,60,336.394352
46.031127,60,338.012619
41.147485,60,340.050593
48.748221,60,341.717088
46.007505,60,343.359498
43.460256,60,345.002012
43.667337,60,346.797747
45.102238,60,348.39506
45.718738,60,350.046507
47.591954,60,352.123628
41.967694,60,354.191477
44.566751,60,356.387141
45.624019,60,358.305193
45.297414,60,360.234898
42.011726,60,362.235803
37.764866,60,363.980991
42.577289,60,365.680653
40.871891,60,367.59862
47.774253,60,369.311691
42.21613,60,371.02263
46.967673,60,372.643795
46.221405,60,374.32569
46.68697,60,376.072268
46.226174,60,377.854867
46.197644,60,379.647152
45.57541,60,381.291278
39.446497,60,382.944329
43.637089,60,384.53491
45.993571,60,386.180225
42.443131,60,388.094199
40.502879,60,390.014878
42.16183,60,391.729029
46.448737,60,393.452672
41.591666,60,395.46211
43.031895,60,397.465508
43.31631,60,399.477201
44.792563,60,401.485583
