policy,n,reward_mean,reward_ci_low,reward_ci_high,switch_rate_mean,outage_rate_mean
dqn,600,47.16910941429987,46.98925834926076,47.35435990014523,0.08947222222222223,0.0
greedy,200,43.18443985666336,42.96424892402783,43.42353970892283,0.20508333333333337,0.0
hysteresis,200,44.33430975394248,44.07201319099289,44.61071584986551,0.059083333333333335,0.0
oracle,200,48.16733625788594,47.854637610561376,48.48165372000526,0.041416666666666664,0.0
ppo,600,47.68282318556197,47.50810259686152,47.87326760807124,0.04733333333333334,0.0
random,200,4.1263537459862665,3.017890595884787,5.193263687338435,0.4134166666666667,0.33166666666666667
