reward_profile,reward_mean,switch_rate_mean,outage_rate_mean
balanced,46.568747826277765,0.06766666666666667,0.0
throughput-leaning,47.654272042328905,0.04833333333333333,0.0
latency-leaning,46.91430783523677,0.05483333333333332,0.0
reliability-leaning,47.368225279367735,0.04516666666666666,0.0
