policy_a,policy_b,metric,n_a,n_b,mean_a,mean_b,welch_t,welch_p,mannwhitney_u,mannwhitney_p,cohens_d
ppo,dqn,total_reward,600,600,47.68282318556198,47.16910941429987,3.8488235948326066,0.00012495314041961682,203437.5,9.440466705586475e-05,0.22221193385399884
ppo,dqn,switch_rate,600,600,0.04733333333333331,0.08947222222222219,-15.892508461636949,3.010214037363222e-51,94181.5,5.967332602636574e-47,-0.9175544038424499
ppo,hysteresis,total_reward,600,200,47.68282318556198,44.33430975394248,19.561742164396026,5.810163222309525e-60,105243.0,1.608765287649536e-57,1.4817978862390564
ppo,hysteresis,switch_rate,600,200,0.04733333333333331,0.05908333333333329,-5.171483570053543,3.277129332804833e-07,45529.0,2.1775690029919355e-07,-0.3404361327039289
ppo,oracle,total_reward,600,200,47.68282318556198,48.16733625788594,-2.655784332660562,0.008264161279467904,52188.0,0.005779113349970729,-0.2103573866851304
ppo,oracle,switch_rate,600,200,0.04733333333333331,0.041416666666666636,2.0343015939681774,0.042650023301121255,65003.0,0.07330865102907105,0.1606936249546462
dqn,hysteresis,total_reward,600,200,47.16910941429987,44.33430975394248,16.671365532221746,2.4669614905635533e-47,101429.0,1.606306752627001e-48,1.2764882511219067
dqn,hysteresis,switch_rate,600,200,0.08947222222222219,0.05908333333333329,11.074572774132232,1.807844352580368e-26,82592.0,9.143321595154337e-16,0.6395964631280553
