policy,geometry,reward_mean,switch_rate_mean,outage_rate_mean
hysteresis,nominal,44.33430975394248,0.059083333333333335,0.0
ppo_seed0,nominal,47.04496825977999,0.06074999999999999,0.0
ppo_seed1,nominal,48.13779652033968,0.04449999999999999,0.0
ppo_seed2,nominal,48.0270851516939,0.03233333333333333,0.0
hysteresis,shifted,44.70896868855483,0.07608333333333334,0.0
ppo_seed0,shifted,47.19715950578607,0.06708333333333333,0.0
ppo_seed1,shifted,48.06816549421263,0.04625,0.0
ppo_seed2,shifted,47.961735058544406,0.03908333333333333,0.0
