#{"t_start": 1788460045.2387757, "env_id": "None"}
r,l,t
-11.959827,60,1.867374
-2.72262,60,3.400112
2.9271,60,4.929234
-8.449105,60,6.542974
5.304631,60,8.576118
6.062122,60,10.395586
9.028649,60,12.628486
9.079013,60,14.812041
11.817941,60,16.868091
5.440951,60,19.036545
18.290476,60,21.31398
18.918653,60,23.709901
4.848875,60,26.131613
17.435004,60,28.34122
12.179926,60,30.64852
-1.837265,60,32.573436
24.141323,60,34.824089
19.030117,60,37.04783
18.252429,60,39.234765
20.959563,60,41.530236
17.116542,60,43.780555
20.673673,60,45.986563
5.132447,60,48.302245
24.090717,60,50.675974
16.917244,60,52.891743
10.950114,60,55.102424
18.469238,60,57.468433
29.329481,60,59.803144
19.501683,60,62.129261
30.977208,60,64.479255
31.189147,60,66.965662
32.311252,60,69.447929
28.27817,60,72.127605
28.35653,60,74.499979
36.89538,60,77.110309
28.589505,60,79.582125
34.684225,60,82.40662
34.74784,60,85.020087
36.679947,60,87.626868
35.950197,60,90.269904
42.694672,60,92.960654
45.326383,60,95.612944
39.296954,60,98.199265
36.790999,60,100.745061
40.035662,60,103.355349
40.175137,60,105.991885
40.819887,60,108.657215
40.645018,60,111.296217
38.729127,60,113.982503
45.459551,60,116.662615
32.616336,60,119.282175
43.00634,60,121.848971
43.967287,60,124.433746
38.82804,60,127.108516
46.821728,60,129.746632
40.095509,60,132.334382
41.922199,60,134.989411
44.014465,60,137.592619
37.531392,60,140.512384
48.180255,60,143.121539
35.059119,60,145.699628
38.245779,60,148.384653
40.915847,60,151.174614
45.31845,60,153.841694
44.2935,60,156.614739
43.499044,60,159.152042
47.177218,60,161.82765
45.275212,60,164.487944
44.277072,60,167.04737
40.274938,60,169.664894
44.136375,60,172.439098
42.335212,60,175.077939
37.590431,60,177.702904
40.003611,60,180.362515
41.109171,60,182.95089
35.821572,60,185.63673
37.450802,60,188.190519
46.104644,60,190.781714
42.91385,60,193.456864
40.33934,60,196.108063
38.458675,60,198.796392
42.937352,60,201.500616
42.720742,60,204.019868
38.828025,60,206.65979
39.496298,60,209.190435
49.30489,60,211.906823
41.029389,60,214.593125
42.460727,60,217.283874
41.070379,60,220.028917
42.391703,60,222.670811
49.576903,60,225.328785
44.183454,60,227.910874
38.375598,60,230.561884
47.642777,60,233.243821
45.443535,60,235.906714
43.158651,60,238.482274
43.197616,60,241.284782
36.732016,60,243.893209
36.85324,60,246.497239
41.94271,60,249.152534
39.811648,60,251.849612
42.903778,60,254.556897
42.081135,60,257.18841
38.675251,60,259.8426
42.652214,60,262.507168
39.956476,60,265.136272
41.717427,60,267.788142
43.951791,60,270.415
42.11933,60,273.023991
43.34837,60,275.595491
43.986861,60,278.230006
45.727672,60,280.886971
33.733562,60,283.467147
39.223475,60,286.180843
41.688518,60,288.900148
40.982322,60,291.499603
40.336519,60,294.146383
41.472418,60,296.776542
44.326261,60,299.484294
45.959143,60,302.15725
37.920751,60,304.872901
36.328855,60,307.525638
42.139895,60,310.165739
41.956833,60,312.778123
41.001712,60,315.434379
42.180066,60,318.074343
37.354283,60,320.801593
40.965693,60,323.528002
41.151561,60,326.190591
39.948822,60,328.777703
39.158196,60,331.521624
40.847321,60,334.129681
40.619892,60,336.673893
48.373884,60,339.258955
40.270514,60,341.970907
42.844422,60,344.718067
43.708225,60,347.381245
39.858173,60,349.949911
45.943573,60,352.584459
43.590306,60,355.283475
43.433281,60,357.839417
41.858912,60,360.381686
40.299536,60,363.007845
40.137015,60,365.84669
44.871517,60,368.522508
37.650062,60,371.045237
39.518353,60,373.545796
38.300401,60,376.191436
42.270121,60,378.791632
35.26094,60,381.318807
41.70028,60,383.959852
45.939423,60,386.650115
43.329336,60,389.520852
33.798514,60,392.023086
41.676935,60,394.632658
40.869601,60,397.218129
41.971065,60,399.82789
45.98136,60,402.343709
41.643863,60,405.000404
41.562246,60,407.79498
41.107761,60,410.569228
41.893349,60,413.170308
42.559077,60,415.745092
41.300784,60,418.297691
44.926435,60,420.895404
41.610758,60,423.511815
42.351354,60,426.132634
40.162544,60,428.779741
40.039576,60,431.45617
42.696355,60,434.188549
36.855347,60,436.790301
39.768879,60,439.776314
42.666456,60,442.634932
37.42537,60,445.268087
40.016763,60,447.847512
41.384092,60,450.443924
42.727886,60,453.125246
39.879352,60,455.865826
42.860079,60,458.462397
40.783621,60,460.995708
38.97271,60,463.566703
40.567324,60,466.273268
43.024385,60,468.986651
38.044501,60,471.724304
43.410165,60,474.558955
40.74649,60,477.264535
43.998091,60,479.861535
38.662105,60,482.28445
42.856161,60,484.885396
39.822738,60,487.438016
38.191765,60,490.033056
45.674141,60,492.705897
42.764075,60,495.328881
39.337763,60,497.89204
41.080457,60,500.57127
49.306764,60,503.297352
42.984104,60,505.820935
38.591603,60,508.394814
42.340293,60,511.115102
42.289168,60,514.011891
42.435836,60,516.686162
43.380217,60,519.350913
43.904535,60,521.991288
40.375235,60,524.736805
38.160782,60,527.16168
45.434779,60,529.302238
36.755522,60,531.297546
42.886905,60,533.43807
45.138746,60,535.727074
41.250394,60,537.840323
43.5893,60,539.962001
42.601909,60,542.128215
41.86213,60,544.390871
40.674751,60,547.453048
35.132287,60,549.871366
41.154977,60,552.150387
37.793475,60,554.271899
45.506523,60,556.455842
35.991606,60,558.677778
45.819833,60,560.900267
37.463859,60,563.157226
46.869884,60,565.264615
43.851403,60,567.445148
41.915748,60,569.607008
42.883722,60,571.86526
39.622886,60,574.010452
41.942164,60,576.11267
38.306818,60,578.316685
41.962793,60,580.603273
40.994614,60,582.720267
41.583491,60,584.851608
36.584441,60,586.930231
43.853184,60,589.044596
41.726228,60,591.307852
40.502399,60,593.407383
42.719129,60,595.56224
34.518723,60,597.662068
37.252594,60,599.861705
34.265904,60,602.076947
44.12089,60,604.23492
41.87844,60,606.377738
39.162566,60,608.538211
42.012951,60,610.623191
38.777028,60,612.719625
38.853036,60,614.81155
42.102047,60,617.029321
39.20499,60,619.160477
41.22383,60,621.524107
41.095976,60,623.91696
35.949928,60,626.134041
38.115383,60,628.449062
43.031781,60,630.645999
45.021464,60,632.85674
40.537743,60,635.116652
40.308348,60,637.212888
41.375037,60,639.260045
34.168558,60,641.278045
43.175903,60,643.468629
39.469397,60,645.600184
41.933267,60,647.638216
41.559597,60,649.815953
44.339003,60,652.037421
45.091494,60,654.097123
38.840494,60,656.322021
40.60443,60,658.51349
36.723236,60,660.598783
38.791038,60,662.683857
45.888048,60,664.775273
39.69466,60,666.931672
45.137181,60,669.143044
41.852436,60,671.220699
44.643939,60,673.30915
43.693174,60,675.410686
42.71721,60,677.439912
39.494924,60,679.640337
41.3277,60,681.833611
40.47226,60,683.960026
46.714316,60,686.103116
41.883747,60,688.210328
42.332424,60,690.443708
40.552055,60,692.659943
41.810724,60,694.67322
39.074919,60,696.746454
41.922546,60,698.840652
44.110055,60,701.0722
44.006816,60,703.164694
42.691554,60,705.323333
41.165118,60,707.423181
47.394752,60,709.559576
41.285851,60,711.722525
37.902578,60,713.897244
41.796174,60,716.05072
40.9857,60,718.260364
37.976652,60,720.299363
44.525784,60,722.483818
38.053617,60,724.692651
44.004785,60,726.879485
47.241559,60,729.05435
37.083995,60,731.130489
44.893194,60,733.316203
42.192512,60,735.584268
36.440748,60,737.713006
47.1386,60,740.146635
38.552771,60,742.284334
43.023778,60,744.405464
38.619209,60,746.506024
40.622684,60,748.687419
41.3141,60,750.801648
40.523978,60,753.272734
41.11437,60,755.709512
42.645342,60,758.056555
43.471707,60,760.144482
42.639152,60,762.26529
40.741975,60,764.372955
42.486033,60,766.518606
41.343631,60,768.805024
40.004981,60,770.915914
43.224027,60,773.019845
43.459312,60,775.133872
44.638405,60,777.374377
40.387385,60,779.652091
38.10888,60,781.807736
45.179508,60,784.098497
41.415734,60,786.400409
39.413061,60,788.564719
41.005378,60,790.677478
37.328918,60,792.756092
41.225223,60,794.914724
39.170923,60,797.20158
40.061018,60,799.292767
42.77077,60,801.505214
40.340082,60,803.706272
41.472569,60,805.906277
43.697627,60,807.991388
40.237212,60,810.107828
43.769286,60,812.49472
38.957667,60,814.864478
41.522003,60,816.976347
43.028825,60,819.227077
34.322336,60,821.401188
44.606573,60,823.638449
40.738181,60,825.834967
37.197034,60,828.087405
43.807145,60,830.407303
41.486607,60,832.559352
41.047808,60,834.775078
39.858767,60,836.952954
38.027184,60,839.100001
43.056399,60,841.240579
46.598588,60,843.375424
44.011719,60,845.669982
43.641005,60,847.79636
39.919353,60,849.886711
39.820817,60,852.00323
48.754582,60,854.165707
41.717499,60,856.320626
43.555978,60,858.520472
39.070136,60,860.598843
42.206425,60,862.907805
39.883779,60,865.057227
35.455831,60,867.155467
35.397872,60,869.260366
44.07814,60,871.548819
41.39367,60,873.690053
38.700767,60,875.796265
40.003661,60,877.991436
44.345549,60,880.294452
42.247017,60,882.422313
43.867573,60,884.559551
39.677321,60,886.644521
38.170924,60,889.002815
36.703921,60,891.641654
39.871152,60,893.796075
53.264391,60,896.210135
42.968933,60,898.414825
44.292656,60,900.613494
41.402093,60,902.792034
40.407767,60,904.924647
38.303064,60,906.969226
41.317518,60,909.041726
42.364645,60,911.344487
38.426206,60,913.527231
48.781572,60,915.737974
37.668113,60,917.89246
43.077767,60,920.055462
36.30556,60,922.333822
42.596459,60,924.767025
42.986321,60,926.87955
47.923822,60,929.024601
45.263583,60,931.121246
43.351566,60,933.515719
40.148372,60,935.644041
46.209925,60,937.816351
38.735725,60,939.947321
40.552787,60,942.096412
41.295234,60,944.330327
43.663502,60,946.399664
43.780036,60,948.508798
38.172754,60,950.647624
42.448521,60,952.773532
40.726173,60,954.881491
39.176758,60,957.137013
41.35467,60,959.171175
41.305202,60,961.317942
38.23332,60,963.530503
42.736057,60,965.642587
36.273562,60,967.888512
38.181765,60,970.069567
43.734239,60,972.234471
38.458996,60,974.368218
44.508213,60,976.57583
42.275156,60,978.784072
39.819407,60,980.921292
40.614447,60,983.054909
38.453298,60,985.101313
37.72193,60,987.254117
