epoch,step,min,max,mean,std
1,2000,-0.0009860086720436811,0.0014489369932562113,-1.0226418453385122e-05,0.0001151531032519415
2,4000,-0.0006720665260218084,0.0008226017816923559,8.120044867609977e-07,7.288551569217816e-05
3,6000,-0.001531937625259161,0.0009436361724510789,-8.481330951326527e-06,0.00011359331983840093
4,8000,-0.001216170727275312,0.0016231017652899027,4.404773335409118e-06,0.0001283006859011948
5,10000,-0.0013075564056634903,0.0015882774023339152,-2.952232080133399e-06,0.0001304649922531098
6,12000,-0.00106876774225384,0.001725538051687181,1.3615132047561929e-05,0.00013149755250196904
7,14000,-0.000620294944383204,0.0008166318293660879,2.569251137174433e-06,6.958311860216781e-05
8,16000,-0.0006208550184965134,0.0015676545444875956,1.5062627198858536e-06,7.943745731608942e-05
9,18000,-0.001163115375675261,0.0017586072208359838,-1.0051159051727154e-06,0.00012166796659585088
10,20000,-0.0014024145202711225,0.0028738246764987707,2.7938435778196435e-06,0.0001038714763126336
11,22000,-0.0019346977351233363,0.000848526309709996,-4.5572505769087e-06,9.912394307320938e-05
12,24000,-0.0007016274612396955,0.0010854655411094427,1.4018874026078265e-06,8.008380245883018e-05
13,26000,-0.0015471756923943758,0.0017922925762832165,-1.1971886124229059e-05,0.00018531025853008032
14,28000,-0.0011152200167998672,0.0008012822363525629,1.9947988221247215e-06,8.07795295258984e-05
15,30000,-0.0015058019198477268,0.0007830409449525177,-3.58986130777339e-06,0.00011705356882885098
16,32000,-0.0006909667863510549,0.0013472336577251554,5.443525424198015e-06,9.024005703395233e-05
17,34000,-0.0008225755300372839,0.0006398794939741492,-1.8450189145369222e-06,7.103899406502023e-05
18,36000,-0.0019672526977956295,0.0010897465981543064,-2.145689450117061e-06,0.00012208922998979688
19,38000,-0.0028637174982577562,0.001311208470724523,-1.034493379847845e-05,0.00016618968220427632
20,40000,-0.0013656915398314595,0.0007133395411074162,2.0802954168175347e-06,9.473360114498064e-05
