1,2000,1.454857855319977
2,4000,1.3918322905898095
3,6000,1.3885524730682373
4,8000,1.3887667004466058
5,10000,1.3883492895364762
6,12000,1.3872441626191139
7,14000,1.387975186765194
8,16000,1.3877063276171684
9,18000,1.3879149047136308
10,20000,1.3877785503864288
11,22000,1.388226430773735
12,24000,1.3870119026899337
13,26000,1.3868812255263328
14,28000,1.3881521007418633
15,30000,1.3873840107917785
16,32000,1.3873076368570327
17,34000,1.3872710149288177
18,36000,1.3870477933883667
19,38000,1.3875534170866013
20,40000,1.3877271912693978
