1,2000,0.008401202021515928
2,4000,0.005144400284392759
3,6000,0.005143397450912744
4,8000,0.005139298464404419
5,10000,0.0051252068480243905
6,12000,0.005148526061559096
7,14000,0.005129149041837081
8,16000,0.005116703452426009
9,18000,0.005151097531081178
10,20000,0.00512958166282624
11,22000,0.0051257708497578275
12,24000,0.005142798215034418
13,26000,0.0051106930451933295
14,28000,0.005130594391841442
15,30000,0.005131266052718274
16,32000,0.005141940158209763
17,34000,0.005096868230844848
18,36000,0.005154944430571049
19,38000,0.005126430534524843
20,40000,0.005139947570627555
