epoch,step,min,max,mean,std
1,2000,-0.017071697860956192,0.002773061627522111,-0.00046874809777364135,0.0020441662054508924
2,4000,-0.008074294775724411,0.007959485054016113,-0.00015223314403556287,0.0015136749716475606
3,6000,-0.006144780199974775,0.00592793058604002,2.057334677374456e-05,0.0017210353398695588
4,8000,-0.005911310203373432,0.006757061462849379,0.00021041568834334612,0.001566486433148384
5,10000,-0.01689119078218937,0.005170977674424648,-0.00016940422938205302,0.0022139509674161673
6,12000,-0.006941338535398245,0.014165612868964672,0.0005194523255340755,0.002443853300064802
7,14000,-0.006570921279489994,0.004854502622038126,-0.00022227510635275394,0.0013272031210362911
8,16000,-0.007072168402373791,0.008171066641807556,-0.00011969679326284677,0.001396431471221149
9,18000,-0.009723534807562828,0.006860896944999695,-6.385688902810216e-05,0.0016564124962314963
10,20000,-0.014242845587432384,0.009980432689189911,-0.00016311550280079246,0.002087097615003586
11,22000,-0.01525811292231083,0.007337226066738367,0.00013691169442608953,0.0019444064237177372
12,24000,-0.003323402488604188,0.008459387347102165,-1.9013217752217315e-05,0.0013136409688740969
13,26000,-0.01216871477663517,0.005207928363233805,-0.000954636198002845,0.0024940785951912403
14,28000,-0.005830531008541584,0.010516798123717308,0.0005265212384983897,0.0016105626709759235
15,30000,-0.009259914048016071,0.01165000256150961,0.0003450208459980786,0.0024593265261501074
16,32000,-0.007656236179172993,0.0030330950394272804,-0.00041153040365315974,0.0013623370323330164
17,34000,-0.005485211499035358,0.013045959174633026,0.000342206796631217,0.0018305336125195026
18,36000,-0.005387620069086552,0.010221934877336025,0.0006662911036983132,0.0020740691106766462
19,38000,-0.03135020658373833,0.01529350969940424,-6.367566675180569e-05,0.0043665459379553795
20,40000,-0.0026601452846080065,0.011089050211012363,0.000568048853892833,0.0014021057868376374
