1,2000,0.15388699080795049
2,4000,0.14432763219624758
3,6000,0.1439986478239298
4,8000,0.14401597145944833
5,10000,0.14396013862639664
6,12000,0.14387294518947602
7,14000,0.1439266707673669
8,16000,0.14388733930885791
9,18000,0.1439425910487771
10,20000,0.14390743970125913
11,22000,0.1439484169334173
12,24000,0.14384399124234915
13,26000,0.1437988185212016
14,28000,0.14394580768048762
15,30000,0.14386967016011476
16,32000,0.14387270702421665
17,34000,0.14382397277653217
18,36000,0.14385972682386636
19,38000,0.14388177484273912
20,40000,0.14391266963630914
