#{"t_start": 1788527557.2279148, "env_id": "None"}
r,l,t
-1.393027,60,4.83686
-0.018119,60,8.160348
-7.986835,60,10.218572
10.895431,60,12.957336
1.671678,60,15.674003
-6.646836,60,18.118311
12.521888,60,20.740918
0.781271,60,23.843131
16.959006,60,27.051182
20.009306,60,30.577888
2.312815,60,33.741628
16.83796,60,37.388589
-4.234586,60,40.766272
16.858789,60,44.222183
19.080593,60,48.270705
-7.572714,60,51.200459
16.462553,60,55.21918
20.327142,60,58.113971
4.487021,60,61.617215
23.199118,60,64.782877
21.033482,60,68.16371
16.065155,60,70.848064
-5.849881,60,72.567525
-7.131545,60,74.769741
24.104479,60,76.944819
18.496361,60,79.177732
0.606763,60,81.40315
20.258538,60,83.740185
28.876272,60,86.941028
22.151863,60,89.304645
31.120202,60,93.193075
34.081732,60,97.088407
26.564235,60,100.678687
39.773917,60,103.505048
29.139188,60,107.809794
31.306313,60,111.58956
30.040912,60,116.712237
39.077375,60,120.433179
37.440695,60,125.11871
37.557042,60,129.136809
42.022635,60,133.377294
35.894329,60,136.546149
40.080897,60,140.203404
35.437225,60,143.351198
40.139703,60,147.8246
39.063127,60,151.618379
46.3341,60,156.0898
37.457925,60,160.751266
43.767469,60,166.035176
39.960734,60,170.885668
44.76019,60,176.48257
41.311771,60,179.53209
45.114076,60,182.074133
36.361677,60,184.873528
42.581673,60,187.449973
36.277967,60,190.065759
42.104133,60,193.498135
38.64479,60,196.689102
42.07864,60,200.043415
44.708374,60,202.826504
36.186808,60,205.409976
39.82448,60,207.812361
39.474698,60,210.019369
39.176086,60,212.2047
42.173022,60,214.615251
41.936865,60,217.594099
47.591017,60,221.792576
42.434743,60,226.305118
39.299551,60,229.820955
38.078497,60,233.721817
42.763045,60,237.931833
42.371549,60,242.099433
41.268393,60,246.270693
35.648482,60,250.179996
40.109894,60,253.932584
42.151205,60,257.892063
43.680485,60,260.475331
38.992853,60,263.014207
38.714818,60,266.334685
43.490936,60,270.699717
40.686165,60,274.649525
40.401642,60,277.533927
42.051944,60,280.045475
37.370334,60,282.611118
37.853649,60,284.954996
39.007965,60,287.471817
37.451482,60,290.106327
43.270715,60,294.187219
47.406439,60,297.988833
42.056183,60,301.809398
41.395026,60,304.518925
43.830306,60,307.236475
41.026195,60,309.399091
41.881512,60,312.17774
37.271957,60,316.948048
42.180821,60,320.95367
43.91061,60,325.670663
43.901677,60,329.529475
42.72902,60,334.022444
39.315784,60,337.520819
41.474213,60,342.147158
44.950211,60,346.785173
38.821766,60,351.001897
42.822064,60,355.083723
40.078284,60,359.009834
47.59426,60,362.460874
41.065492,60,366.891456
39.291224,60,371.188052
38.446611,60,375.788619
44.783707,60,380.182779
43.962199,60,384.39046
44.151067,60,388.391169
40.413501,60,392.400744
38.662685,60,396.646054
43.925944,60,401.296865
37.696778,60,405.528239
40.885378,60,409.471484
41.383388,60,413.087455
43.643189,60,416.839277
42.340075,60,420.264994
36.373531,60,423.994095
39.348004,60,427.264733
43.855537,60,431.511229
42.414858,60,434.691575
44.665118,60,437.56587
42.057973,60,441.038191
44.143322,60,445.267796
41.979731,60,449.505224
43.076921,60,453.14186
46.41598,60,457.286343
33.184343,60,460.660822
40.789913,60,464.493732
40.058178,60,468.40696
45.656227,60,472.433184
48.157617,60,476.720175
41.934186,60,481.214459
35.607517,60,485.448867
38.35935,60,489.88738
42.754795,60,494.67957
40.477353,60,498.95136
41.86331,60,503.453239
36.572893,60,507.432247
40.727646,60,511.57591
42.731357,60,515.128688
46.12825,60,518.423344
39.357003,60,522.541392
43.241549,60,526.82545
42.823396,60,531.172528
37.049877,60,535.788401
37.423977,60,540.199253
45.230574,60,544.416763
38.292593,60,548.452873
43.884708,60,551.296692
40.612241,60,553.814379
41.930502,60,556.291235
39.56434,60,558.951644
41.604965,60,561.571357
41.529846,60,564.086594
46.164824,60,566.622349
46.106264,60,569.823643
38.71491,60,574.41852
45.588931,60,578.143117
44.079336,60,582.735751
39.683164,60,586.54024
41.736424,60,591.190877
42.866294,60,595.032444
40.887682,60,598.433439
41.114968,60,601.162737
41.166114,60,603.748832
39.456821,60,606.451286
34.619808,60,609.153085
41.203545,60,611.534924
41.436132,60,613.971764
37.535145,60,616.971363
43.079521,60,622.057647
36.941852,60,625.86683
43.640139,60,630.23903
41.441275,60,634.333588
40.650207,60,639.257831
40.702741,60,642.970527
35.507456,60,646.317337
44.616925,60,649.000383
41.359912,60,651.52196
37.040018,60,654.01677
45.511803,60,656.446727
40.768642,60,660.585161
41.461935,60,664.307933
39.834896,60,668.811609
41.122696,60,672.923804
37.255985,60,676.32678
41.137081,60,680.631492
42.781898,60,684.607296
44.620164,60,687.955817
39.875732,60,691.380731
44.365609,60,695.819968
46.874371,60,700.087211
40.208542,60,703.904247
43.285416,60,707.949661
36.874778,60,710.77529
44.268641,60,713.995079
45.410263,60,718.32221
40.176163,60,722.403574
38.920044,60,726.279737
