#{"t_start": 1788382437.113467, "env_id": "None"}
r,l,t
-8.447827,60,7.008907
14.337154,60,9.387168
1.226578,60,11.639372
5.183847,60,14.522067
-0.65911,60,17.540477
-0.520245,60,19.781352
-10.32425,60,22.26656
-5.408148,60,24.880273
1.272112,60,30.780215
7.252243,60,33.561704
2.48417,60,36.153259
18.607332,60,38.77501
0.818545,60,41.188064
9.028216,60,43.942351
9.037417,60,46.527503
16.425482,60,49.092738
3.006418,60,51.970871
7.404748,60,55.874686
6.519612,60,58.169983
-1.954053,60,60.537041
14.96127,60,62.791224
14.888941,60,65.221105
17.820282,60,67.685093
18.172755,60,70.012184
11.801918,60,72.331919
19.412567,60,75.427212
28.066599,60,77.877667
14.239124,60,80.273814
31.484899,60,82.908322
15.789486,60,85.419395
18.419248,60,88.25011
13.774604,60,92.199512
23.805921,60,95.952571
19.982351,60,98.494839
13.883105,60,102.395537
16.922226,60,105.002291
25.164173,60,107.632819
17.20988,60,110.081634
20.061981,60,113.045951
30.65379,60,115.742144
34.024947,60,118.215475
21.730707,60,120.596481
11.935339,60,123.685654
35.816515,60,126.465536
30.317275,60,129.093459
24.540151,60,131.616115
31.024966,60,134.019188
28.441795,60,136.653512
29.946098,60,139.869008
13.184458,60,143.28073
19.291305,60,145.893952
27.736133,60,149.643552
36.744505,60,152.53688
15.279041,60,155.535761
18.255222,60,158.100196
28.772863,60,160.724077
27.695999,60,163.577588
24.032345,60,166.29102
27.519568,60,168.724018
30.942759,60,172.535086
29.745224,60,175.338577
25.055653,60,178.244718
35.519038,60,180.852734
37.405147,60,183.765602
36.934119,60,186.34619
34.070786,60,189.157799
28.116196,60,191.728764
31.711987,60,194.523954
38.729855,60,198.354054
42.172541,60,201.674844
32.099756,60,204.956904
36.656814,60,210.330172
34.184263,60,214.405774
37.522086,60,218.930399
39.596705,60,222.832766
39.090114,60,226.583127
42.794433,60,231.113185
38.080863,60,233.975551
29.738206,60,236.715904
36.607306,60,239.315189
41.624882,60,242.078527
36.918638,60,244.822684
28.779225,60,248.377446
36.688019,60,251.406488
29.680518,60,254.111701
34.51312,60,257.822493
38.251075,60,260.695124
39.733215,60,263.974212
35.202454,60,267.146525
33.790571,60,270.004656
39.313611,60,273.014308
29.567865,60,275.783207
26.780983,60,278.646905
33.430838,60,282.262175
38.842263,60,285.19086
35.735719,60,287.832263
37.914508,60,291.368197
38.518508,60,294.793733
33.322802,60,297.755332
40.607536,60,300.932481
38.761801,60,304.331986
34.213901,60,307.478925
40.985078,60,310.859686
40.554465,60,313.662276
37.374427,60,316.515464
36.96166,60,319.191774
40.994209,60,321.836413
35.077303,60,324.402302
39.255211,60,327.10149
35.808138,60,330.084882
37.186688,60,333.481609
36.966666,60,336.130614
39.358098,60,338.830049
37.696584,60,341.663915
38.671786,60,344.563423
38.868566,60,347.244659
37.679993,60,350.138965
37.103075,60,353.692368
38.104199,60,356.710109
40.569175,60,360.278594
36.447431,60,363.227612
38.082872,60,366.632846
40.274135,60,370.048814
26.847663,60,373.943684
40.602253,60,377.51085
38.613591,60,380.128122
40.017006,60,382.899237
45.031593,60,385.762635
41.41956,60,389.490434
37.25921,60,392.222924
44.637765,60,394.989982
42.574206,60,397.775671
41.257003,60,400.583836
40.374059,60,403.228399
42.75168,60,405.892837
41.784834,60,408.490798
39.372205,60,412.121917
37.836455,60,414.774685
35.188977,60,417.439843
40.020193,60,420.143816
38.778021,60,422.847077
41.688308,60,425.586581
41.694999,60,428.425044
42.001756,60,431.125199
40.514813,60,433.944273
39.982623,60,437.798626
35.764813,60,440.485799
39.888966,60,443.296966
37.233376,60,445.963816
43.012563,60,448.720577
33.237368,60,451.370785
42.935273,60,454.065537
39.857434,60,456.724776
44.927549,60,460.075668
45.895601,60,462.911553
40.871145,60,465.735509
43.095205,60,468.372664
37.074529,60,471.163043
39.960124,60,473.714705
38.651995,60,476.218113
40.001157,60,478.814563
29.544557,60,481.565686
42.710942,60,484.940475
37.34619,60,487.546505
33.68448,60,490.274106
38.713983,60,493.151026
40.560708,60,495.786686
37.499647,60,498.403481
41.34922,60,501.379704
41.854242,60,504.16281
38.164963,60,507.674154
39.718057,60,510.890969
35.687726,60,513.820271
34.702851,60,517.088985
39.514895,60,520.412399
44.465912,60,523.389091
31.938565,60,526.287255
33.491186,60,529.293099
39.051944,60,532.457397
37.92018,60,536.280091
46.7975,60,539.16515
40.508511,60,541.784402
42.448143,60,544.778949
41.051062,60,547.509427
41.275431,60,550.264853
37.261509,60,553.166514
