#{"t_start": 1788456204.0007634, "env_id": "None"}
r,l,t
4.508462,60,2.983255
-20.672585,60,5.236135
-7.872527,60,7.484023
-1.155694,60,9.9111
-1.168609,60,12.119601
-10.986577,60,14.112774
7.574071,60,16.31074
-7.113283,60,18.551081
20.947416,60,21.450031
-4.70554,60,23.681826
-1.413863,60,26.063244
2.491893,60,28.445057
7.340301,60,30.925543
10.891063,60,33.144427
-1.648979,60,35.19634
10.038974,60,37.340866
11.719155,60,39.603669
10.974458,60,42.469048
7.339155,60,44.801287
8.85261,60,47.175407
26.352427,60,49.558787
14.90652,60,51.939288
15.962118,60,54.278713
16.060607,60,56.499334
16.524734,60,58.843204
7.936919,60,62.15839
24.823393,60,64.75581
15.729134,60,67.266768
13.539875,60,70.021698
19.049668,60,73.652007
3.756332,60,76.363284
20.757889,60,78.983271
9.778653,60,81.610124
15.569743,60,84.389682
13.913531,60,88.37113
14.607805,60,91.192602
16.087663,60,93.881756
28.501389,60,96.589132
23.794903,60,99.298774
23.583828,60,102.246347
20.594458,60,105.165348
26.829644,60,107.754524
19.467915,60,110.972108
18.541659,60,113.579975
19.079462,60,116.127336
18.991757,60,118.842007
17.152114,60,121.579137
16.788064,60,124.080402
24.257473,60,127.006067
27.132488,60,129.666923
24.2868,60,132.254686
22.613434,60,135.576589
19.412171,60,138.075864
19.722792,60,140.495995
31.241141,60,143.292922
28.239558,60,146.046624
19.97734,60,148.484369
18.139004,60,150.927132
30.060957,60,153.309826
26.771995,60,156.682026
19.163339,60,159.267309
27.341932,60,161.900707
27.392522,60,164.528162
30.368796,60,167.20702
24.276033,60,169.883145
28.404469,60,172.366973
29.318542,60,174.900665
26.00944,60,177.554546
33.080654,60,180.892725
36.978567,60,183.543736
31.527342,60,186.243196
24.167151,60,188.804324
26.644083,60,191.629019
38.905104,60,194.499426
30.016864,60,197.146399
35.663402,60,199.983191
33.202525,60,203.85236
27.252119,60,207.053625
25.037426,60,209.850978
23.700854,60,212.984333
35.37688,60,216.562958
26.799417,60,220.471869
40.376425,60,224.309856
28.964199,60,228.379612
32.207145,60,232.168762
32.354819,60,237.299899
38.994351,60,240.596985
33.162559,60,244.135635
30.117932,60,248.080512
35.506274,60,252.400259
30.811815,60,255.93146
31.518385,60,259.01364
33.538828,60,262.045018
33.658339,60,266.228193
41.496041,60,269.741037
30.726184,60,272.701511
34.381469,60,275.506483
34.252909,60,278.486793
35.610509,60,281.470156
40.094348,60,285.398699
32.127221,60,288.795568
32.502295,60,291.678191
40.901082,60,295.328902
34.052705,60,299.402783
38.950062,60,302.705435
36.297287,60,305.61222
34.786466,60,309.392459
36.177512,60,312.42293
35.694537,60,315.623153
29.028701,60,319.015133
34.072685,60,323.439084
37.562077,60,326.449344
39.760633,60,329.465739
36.684299,60,332.684615
40.710081,60,336.339064
35.413543,60,339.30009
35.30897,60,342.390053
32.879951,60,345.4528
43.74524,60,348.42629
40.690901,60,352.049268
38.037897,60,354.908123
45.449103,60,357.979598
42.925925,60,360.918895
34.457818,60,363.837427
37.946083,60,366.983788
37.035742,60,370.304116
36.800869,60,373.161671
40.962046,60,375.96886
39.245773,60,379.467839
33.169868,60,382.466048
37.818572,60,385.38852
39.639987,60,388.633122
38.170524,60,391.735089
43.31565,60,394.526183
37.496734,60,397.346903
39.432167,60,400.219294
40.047719,60,403.827463
39.666996,60,406.534001
36.635789,60,409.364495
40.853586,60,412.300491
32.24845,60,415.154419
35.252568,60,417.985633
38.634439,60,420.782066
35.320382,60,423.732919
37.662446,60,426.737612
39.942442,60,430.13094
37.146263,60,432.840553
43.611729,60,436.044516
40.398384,60,439.056142
35.994057,60,442.166324
37.229127,60,445.033581
39.701125,60,447.871291
37.642207,60,450.769646
34.820687,60,454.140442
40.125839,60,456.942686
30.799341,60,460.014926
37.264883,60,462.974812
39.662465,60,465.742624
41.630405,60,468.592263
43.553,60,471.576119
37.435003,60,474.428743
37.9426,60,477.47905
35.549037,60,481.038841
39.683682,60,483.984003
40.637565,60,486.742356
47.128139,60,489.575074
40.01417,60,492.396553
36.689041,60,495.521592
38.259038,60,498.368651
40.539561,60,501.22536
44.570777,60,504.782341
45.436625,60,507.668953
39.995254,60,510.571658
38.436703,60,513.603263
36.050334,60,516.474065
38.053837,60,519.266994
39.239352,60,522.072064
35.860919,60,524.904467
40.331637,60,527.692962
42.411901,60,531.36642
42.047274,60,534.246218
42.348575,60,537.149971
38.48875,60,540.067986
41.032323,60,542.896952
