policy,geometry,reward_mean,switch_rate_mean,outage_rate_mean
hysteresis,nominal,40.903816518515676,0.0625,0.0
ppo_seed0,nominal,43.8967565374799,0.03958333333333333,0.0
ppo_seed1,nominal,44.961315019584056,0.023,0.0
ppo_seed2,nominal,43.99819314659434,0.04716666666666667,0.0
hysteresis,shifted,41.312361634372245,0.08166666666666667,0.0
ppo_seed0,shifted,43.91555538448344,0.056916666666666664,0.0
ppo_seed1,shifted,45.04536410148196,0.03175,0.0
ppo_seed2,shifted,44.05098103022904,0.058166666666666665,0.0
