epoch,step,min,max,mean,std
1,2000,-0.004955566953867674,0.004378758370876312,-8.92516691237688e-05,0.0012997918529435992
2,4000,-0.0064772954210639,0.006548954639583826,6.483706965809688e-05,0.0023789824917912483
3,6000,-0.008254722692072392,0.010759121738374233,0.00012552567932289094,0.0034813890233635902
4,8000,-0.005496510770171881,0.0066016181372106075,0.00020155817037448287,0.0017627323977649212
5,10000,-0.0038737021386623383,0.0029852925799787045,1.553302354295738e-05,0.000998110743239522
6,12000,-0.008801564574241638,0.007325579412281513,-0.00011729772813851014,0.0027691684663295746
7,14000,-0.008398240432143211,0.007540603633970022,0.00015490510850213468,0.0021715909242630005
8,16000,-0.0057208361104130745,0.005523343104869127,2.187889549531974e-06,0.0017848748248070478
9,18000,-0.006266552489250898,0.004313686862587929,-3.663110328488983e-05,0.0014390089781954885
10,20000,-0.008216075599193573,0.0048566702753305435,-0.00029844953678548336,0.0018400271655991673
