epoch,step,min,max,mean,std
1,2000,-0.050832003355026245,0.03097798302769661,0.0003028504434041679,0.008745397441089153
2,4000,-0.029532166197896004,0.037852007895708084,-0.00022729374177288264,0.010863006114959717
3,6000,-0.08150909096002579,0.05783146992325783,0.0001502737432019785,0.02180604822933674
4,8000,-0.0861353725194931,0.08574668318033218,-0.0005316004389896989,0.015228942036628723
5,10000,-0.042623136192560196,0.04202529415488243,0.0013339229626581073,0.007875273004174232
6,12000,-0.03793196380138397,0.05086716264486313,0.0008776998147368431,0.012883421964943409
7,14000,-0.04076024144887924,0.06194775924086571,-0.0004614417557604611,0.011788632720708847
8,16000,-0.07935162633657455,0.04751678183674812,-0.00015808157331775874,0.01544922310858965
9,18000,-0.04217476770281792,0.06378994882106781,0.0003148125542793423,0.01273653656244278
10,20000,-0.10809995979070663,0.09585288166999817,0.00025962627842091024,0.017413053661584854
