UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_003,171.77,7.473,6.527,-82.641,0.00100938,319.546,1.85,3.31,9.4,0.5726,0.0,0.0,57.845,2.46,HAPS
UE_004,144.46,12.092,9.349,-78.93,0.00100872,424.356,1.21,1.39,9.4,0.4815,0.0,0.0,67.722,3.26,HAPS
UE_005,87.15,15.416,12.551,-76.338,0.00010651,552.171,1.28,4.41,9.4,0.2905,0.0,0.0,78.929,4.25,HAPS
UE_006,169.86,16.513,13.012,-76.579,0.00010856,571.075,1.2,0.1,9.4,0.5662,0.0,0.0,80.542,4.39,HAPS
UE_007,50.67,14.351,9.483,-77.138,0.00101613,429.555,0.39,0.1,9.4,0.1689,0.0,0.0,68.192,3.3,HAPS
UE_008,90.65,20.929,16.595,-72.975,0.00010129,720.706,1.22,0.49,9.4,0.3022,0.0,0.0,93.081,5.54,HAPS
UE_009,175.68,14.531,12.748,-77.689,0.00010652,560.225,1.55,1.56,9.4,0.5856,0.0,0.0,79.618,4.31,HAPS
UE_010,110.8,10.16,7.989,-79.905,0.00100442,372.657,0.95,0.78,9.4,0.3693,0.0,0.0,62.961,2.87,HAPS
UE_011,115.84,17.874,14.727,-76.855,0.00010115,642.19,1.11,0.1,9.4,0.3861,0.0,0.0,86.544,4.94,HAPS
UE_012,146.66,16.266,15.927,-77.201,0.00010318,692.542,1.41,0.58,9.4,0.4889,0.0,0.0,90.745,5.33,HAPS
UE_013,173.39,4.662,2.067,-83.93,0.02000918,179.899,1.32,18.72,9.4,0.578,0.0,0.0,42.235,1.38,HAPS
UE_014,110.24,7.169,4.202,-82.935,0.02000484,241.867,1.25,24.28,9.4,0.3675,0.0,0.0,49.706,1.86,HAPS
UE_015,116.47,10.113,7.405,-79.5,0.00100775,351.112,0.87,1.29,9.4,0.3882,0.0,0.0,60.918,2.7,HAPS
UE_016,143.71,13.433,9.5,-79.579,0.00100105,430.201,1.23,1.14,9.4,0.479,0.0,0.0,68.25,3.31,HAPS
UE_017,44.73,18.163,12.733,-76.358,0.00010131,559.617,0.48,0.94,9.4,0.1491,0.0,0.0,79.566,4.3,HAPS
