#{"t_start": 1788453496.7609518, "env_id": "None"}
r,l,t
-6.241448,60,4.531696
-18.305298,60,6.38
-19.242602,60,8.332058
-0.205093,60,10.572438
3.292844,60,12.801781
-20.918891,60,14.80651
8.81831,60,16.990707
3.016155,60,19.256043
5.713026,60,22.132425
3.693555,60,24.606675
8.349055,60,26.925767
0.511061,60,28.953475
12.311353,60,31.213292
9.855856,60,33.263039
-5.29421,60,35.496462
8.999448,60,37.652565
13.946824,60,39.794899
11.794108,60,42.63496
3.540485,60,44.989679
21.544318,60,47.380757
16.254988,60,49.601594
16.054458,60,51.830324
12.578958,60,54.15239
15.438818,60,56.210197
0.070444,60,58.738224
-2.800049,60,61.494251
14.102804,60,63.96258
7.038586,60,66.334563
12.833116,60,68.639578
12.945267,60,71.164959
20.479519,60,73.488877
20.956592,60,75.944796
8.964037,60,78.31556
13.263391,60,80.756522
11.991035,60,84.584634
15.104547,60,87.230953
20.914181,60,89.840602
35.104156,60,92.312547
24.260101,60,94.865297
26.190093,60,97.3696
22.77125,60,99.672631
19.298103,60,101.934556
14.761226,60,105.097023
25.677776,60,107.73861
25.913408,60,110.216508
21.625372,60,112.757518
3.735071,60,115.165732
19.505187,60,117.81877
18.503954,60,120.373412
28.328915,60,122.938544
13.589329,60,125.411934
28.877112,60,128.733665
27.213007,60,131.541013
25.205774,60,134.407512
29.857723,60,136.911031
31.626773,60,139.738277
19.478208,60,142.453015
14.681705,60,145.161914
30.676431,60,147.739534
22.288938,60,151.029893
19.476025,60,153.54765
25.984937,60,156.23721
35.156854,60,158.98276
26.448601,60,161.547995
28.575536,60,164.294462
28.070538,60,166.862833
32.44811,60,169.369612
31.823588,60,172.074231
31.696155,60,175.505533
33.389955,60,178.042691
31.303194,60,180.721098
27.540383,60,183.201971
35.85068,60,186.000638
32.325432,60,188.61502
30.006531,60,191.232887
35.490108,60,193.947308
30.738275,60,197.399533
34.172934,60,199.997777
34.432351,60,202.556607
27.655907,60,205.144077
37.489527,60,207.807998
29.02386,60,210.453341
28.382214,60,212.96712
29.76633,60,215.569968
29.13994,60,218.278879
32.525129,60,221.871402
36.313431,60,224.712939
33.56429,60,227.74641
38.613183,60,230.895894
