#{"t_start": 1788454818.6592865, "env_id": "None"}
r,l,t
15.395173,60,3.394937
0.192016,60,5.7797
5.555783,60,8.568063
6.469681,60,11.144447
9.128421,60,13.8136
-5.955294,60,16.35988
20.31942,60,19.19412
-1.681042,60,21.534184
-5.324847,60,24.524704
1.751015,60,26.807059
3.694073,60,29.393713
8.627392,60,31.808922
16.601015,60,34.350525
4.990273,60,36.817139
13.106681,60,39.206647
0.719204,60,41.727899
-0.857328,60,44.057225
6.345088,60,47.514887
13.202482,60,50.245596
13.590308,60,52.660001
1.776811,60,55.121936
13.900017,60,57.708694
8.228115,60,60.356408
-3.408802,60,63.014857
2.67334,60,65.638592
8.463613,60,68.931849
16.089475,60,71.766976
11.910152,60,74.631076
15.975931,60,77.579906
20.363697,60,80.409813
14.277237,60,83.18231
23.44297,60,86.276225
22.446131,60,89.022462
22.397642,60,91.894547
31.217349,60,95.616698
18.607137,60,98.355628
10.7564,60,101.352911
6.839502,60,104.109537
14.503333,60,107.156781
27.358594,60,110.101629
27.879311,60,112.985131
23.861025,60,115.712051
26.418392,60,119.393679
31.250287,60,122.377218
20.734646,60,125.320646
32.996031,60,128.224987
26.112184,60,131.353243
26.656818,60,134.161596
27.501884,60,136.973834
25.389652,60,139.756598
29.58542,60,142.682426
27.368188,60,146.17764
22.865314,60,148.875028
23.044988,60,151.505335
24.111336,60,154.437042
27.626213,60,157.148245
19.323902,60,159.720647
14.580402,60,162.355291
15.508316,60,165.005229
26.24998,60,168.243981
12.145403,60,170.764149
35.015382,60,173.589357
27.392395,60,176.473636
24.337666,60,179.172719
26.027657,60,181.93051
17.838095,60,184.691078
38.481147,60,187.414784
21.122339,60,190.117409
21.367412,60,193.427746
21.7024,60,196.172685
39.296183,60,199.187368
27.973008,60,201.80701
32.061086,60,204.716826
30.960515,60,207.661374
20.862351,60,210.747335
33.69243,60,213.739442
25.330823,60,217.058173
38.503632,60,219.820014
30.22228,60,222.87594
34.381885,60,225.738349
34.491103,60,228.412791
34.901166,60,231.231574
41.645123,60,234.024417
26.197731,60,236.806475
36.24015,60,239.433272
33.806919,60,243.235002
27.603478,60,246.039245
30.260596,60,248.821344
31.563679,60,251.565963
28.531746,60,254.455919
29.758785,60,257.261789
35.310516,60,259.980326
34.829429,60,262.743383
37.92105,60,266.60768
31.133242,60,269.470392
36.167996,60,272.575063
38.675455,60,275.562648
35.368866,60,278.52247
34.988659,60,281.384119
28.879369,60,284.396784
39.497194,60,287.54565
22.700148,60,290.658017
34.717838,60,294.439392
31.566489,60,297.539511
36.271428,60,300.438904
38.316135,60,303.209642
32.875074,60,306.033559
32.50239,60,308.846477
36.756861,60,311.697661
32.052475,60,314.416636
33.01744,60,318.078245
35.491594,60,320.926219
32.947678,60,324.068161
35.661068,60,327.052953
37.691791,60,330.056896
41.022497,60,332.830254
33.803288,60,335.780221
36.308369,60,338.796591
27.066651,60,341.617492
27.570093,60,345.080501
37.211827,60,347.986005
41.422137,60,351.067615
42.803014,60,354.176223
35.074974,60,357.270014
36.18162,60,360.406669
31.011213,60,363.407155
45.035378,60,366.43523
32.198717,60,369.193147
31.05353,60,372.55538
22.868361,60,375.261949
36.146064,60,378.317047
34.980964,60,381.310392
28.808619,60,384.099773
39.549098,60,387.024107
33.184626,60,389.854227
35.897337,60,392.792652
33.241705,60,396.403183
35.31585,60,399.087656
36.450457,60,402.026717
46.130862,60,405.034002
31.537469,60,407.791328
41.748679,60,410.721096
38.452213,60,413.615165
