UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_008,2.3433,26.324,22.224,-56.338,1.34e-06,103.479,1.116,1.2,21.8,0.008,0.0,0.0,100.0,7.391,216.9,11.1,UAV,4.648986094272516,5.872894877534954,0.7884573603642702
UAV_009,0.9763,33.529,31.829,-53.735,1e-08,148.042,1.307,0.6,-122.9,0.003,0.0,0.0,100.0,10.574,139.0,16.1,UAV,5.004228145419614,7.999956572723137,0.4700036292457356
UAV_010,2.42,22.445,18.745,-58.778,1.05e-06,87.444,1.616,2.6,146.8,0.008,0.0,0.0,100.0,6.246,58.2,18.5,UAV,4.482369583369909,5.978810287316467,1.2809338454620645
UAV_011,1.8637,22.814,19.314,-59.093,1.42e-06,90.057,1.912,2.9,-86.5,0.006,0.0,0.0,100.0,6.433,182.5,19.0,UAV,4.511485684053143,5.847711349775866,1.3609765531356006
UAV_012,2.2892,24.727,21.727,-58.036,1.19e-06,101.183,1.115,1.8,128.8,0.008,0.0,0.0,100.0,7.227,292.8,17.3,UAV,4.6267653234246815,5.924452673654276,1.0296194171811583
UAV_013,1.4528,25.777,21.877,-56.212,1.06e-06,101.872,1.81,2.7,95.3,0.005,0.0,0.0,100.0,7.277,342.0,19.6,UAV,4.633485496968138,5.974693725023648,1.308332819650179
UAV_014,1.5706,26.899,23.699,-56.95,1.25e-06,110.305,1.51,0.9,100.5,0.005,0.0,0.0,100.0,7.879,160.2,13.6,UAV,4.712274180902292,5.903089639556497,0.6418538861723948
UAV_015,1.5269,30.845,28.945,-55.278,1e-08,134.638,1.91,1.7,-119.5,0.005,0.0,0.0,100.0,9.617,173.4,15.3,UAV,4.909989572235726,7.999956572723137,0.9932517730102834
UAV_016,1.4637,29.212,25.312,-55.094,1e-08,117.776,1.81,2.2,-82.1,0.005,0.0,0.0,100.0,8.413,304.5,11.5,UAV,4.777239366317694,7.999956572723137,1.1631508098056809
UAV_017,1.2689,28.253,25.053,-55.174,1e-08,116.575,1.408,1.6,-87.2,0.004,0.0,0.0,100.0,8.327,267.7,14.7,UAV,4.767076427831111,7.999956572723137,0.9555114450274365
UAV_018,1.2856,29.039,26.239,-56.381,1e-08,122.076,1.309,0.8,-98.0,0.004,0.0,0.0,100.0,8.72,249.7,12.4,UAV,4.8128020507382105,7.999956572723137,0.5877866649021191
UAV_019,0.9545,35.125,31.725,-53.037,1e-08,147.559,1.206,3.0,88.6,0.003,0.0,0.0,100.0,10.54,399.8,11.1,UAV,5.000982185734773,7.999956572723137,1.3862943611198906
UAV_000,1.8859,21.411,18.811,-60.195,1.29e-06,87.746,1.513,3.0,78.7,0.006,0.0,0.0,100.0,6.268,458.9,13.1,UAV,4.4857783569172875,5.889409953038492,1.3862943611198906
UAV_001,1.6813,28.308,24.708,-56.646,1.44e-06,114.978,1.911,1.9,-37.8,0.006,0.0,0.0,100.0,8.213,365.4,19.4,UAV,4.753400517947134,5.841637206311465,1.0647107369924282
UAV_002,2.0755,24.679,20.979,-56.961,1.26e-06,97.726,1.014,0.9,45.0,0.007,0.0,0.0,100.0,6.98,437.0,10.0,UAV,4.592348336268033,5.899629110204414,0.6418538861723948
UAV_003,0.7744,38.542,37.442,-51.729,1e-08,174.136,1.105,1.2,-64.3,0.003,0.0,0.0,100.0,12.438,259.8,17.5,UAV,5.165562814961508,7.999956572723137,0.7884573603642702
UAV_004,0.3442,45.684,41.884,-46.558,1e-08,194.793,1.302,1.2,-40.6,0.001,0.0,0.0,100.0,13.914,187.1,19.0,UAV,5.277057978691248,7.999956572723137,0.7884573603642702
UAV_005,1.7335999999999998,29.642,25.242,-55.579,1e-08,117.453,1.612,2.7,-28.4,0.006,0.0,0.0,100.0,8.389,373.2,11.1,UAV,4.774516257426322,7.999956572723137,1.308332819650179
UAV_006,1.0016,36.107,34.207,-51.646,1e-08,159.096,1.107,1.1,-88.2,0.003,0.0,0.0,100.0,11.364,419.6,11.3,UAV,5.0757736353057945,7.999956572723137,0.7419373447293773
UAV_007,1.3177,30.525,26.825,-55.138,1e-08,124.795,1.409,1.8,-31.0,0.004,0.0,0.0,100.0,8.914,125.2,12.3,UAV,4.834653597848481,7.999956572723137,1.0296194171811583
UAV_008,2.4639,25.189,22.489,-57.106,1.16e-06,104.701,1.616,2.7,28.7,0.008,0.0,0.0,100.0,7.479,284.8,14.6,UAV,4.660614353569377,5.935541636381448,1.308332819650179
UAV_009,0.8766,31.465,27.965,-54.368,1e-08,130.088,1.306,0.4,-96.2,0.003,0.0,0.0,100.0,9.292,159.0,12.6,UAV,4.875868853399459,7.999956572723137,0.33647223662121295
UAV_010,2.3468,20.112,16.712,-60.144,1.27e-06,78.146,1.616,1.4,79.3,0.008,0.0,0.0,93.49,5.582,59.2,10.0,UAV,4.371294248094838,5.8961959370800185,0.8754687373538999
UAV_011,1.6832,24.998,20.198,-58.401,1.42e-06,94.128,1.111,2.9,-88.8,0.006,0.0,0.0,100.0,6.723,187.3,19.5,UAV,4.555223353135277,5.847711349775866,1.3609765531356006
UAV_012,2.245,24.197,22.997,-58.302,1.39e-06,107.051,1.415,1.5,99.0,0.007,0.0,0.0,100.0,7.647,241.6,13.3,UAV,4.682603337884617,5.856984887303944,0.9162907318741551
UAV_013,1.3376,29.294,26.394,-55.953,1e-08,122.797,1.609,1.5,59.3,0.004,0.0,0.0,100.0,8.771,326.7,12.2,UAV,4.818643127323601,7.999956572723137,0.9162907318741551
UAV_014,1.5755,29.173,24.973,-56.214,1.29e-06,116.205,1.111,0.8,79.8,0.005,0.0,0.0,100.0,8.3,172.6,10.8,UAV,4.763924538348951,5.889409953038492,0.5877866649021191
UAV_015,1.3424,27.463,24.763,-57.168,1.32e-06,115.233,1.309,0.5,-149.1,0.004,0.0,0.0,100.0,8.231,183.4,19.1,UAV,4.755596797214718,5.879425739783303,0.4054651081081644
