#{"t_start": 1788457575.6051917, "env_id": "None"}
r,l,t
-6.905918,60,2.133687
-17.497235,60,3.55231
1.541563,60,5.176215
-0.271466,60,6.932121
9.059282,60,9.05389
14.990105,60,10.876884
15.329705,60,13.11393
8.656545,60,15.250011
-1.955459,60,17.364422
12.293713,60,19.420248
17.514018,60,21.524465
4.437175,60,23.483641
17.237836,60,25.86029
2.386103,60,27.892925
13.538712,60,30.001257
-0.460687,60,32.087296
12.324241,60,34.316633
17.745299,60,36.589606
10.176589,60,38.850295
9.2325,60,40.996438
6.135006,60,43.054973
17.987726,60,45.249555
18.457624,60,47.466166
-18.258814,60,49.524746
17.880443,60,51.7876
27.333579,60,54.052055
12.102403,60,56.379436
26.760211,60,58.826168
24.962132,60,61.057886
28.339666,60,63.451303
30.123292,60,65.845384
38.874044,60,68.334687
30.474269,60,70.846699
33.02418,60,73.29136
11.484602,60,75.683536
-16.665806,60,78.083334
34.022252,60,80.6864
34.048008,60,83.242874
43.318936,60,85.912268
40.419604,60,88.700211
42.981552,60,91.579429
35.055254,60,94.422202
39.834505,60,97.439655
35.820306,60,100.281865
37.954478,60,103.247432
46.304441,60,105.865757
39.496833,60,108.568758
45.344401,60,111.251777
45.719708,60,114.136244
44.177669,60,116.784928
41.501377,60,119.542422
43.888444,60,122.178118
38.93507,60,124.910392
40.450884,60,127.501735
41.264056,60,130.179291
37.558876,60,132.781421
39.835531,60,135.33411
39.857283,60,137.976819
43.018335,60,140.658517
38.390986,60,143.28143
38.128181,60,145.965937
42.792,60,148.718254
42.08058,60,151.426816
42.886924,60,154.077304
44.542194,60,156.761974
42.89441,60,159.43152
46.150732,60,162.049582
42.338231,60,164.827718
40.991486,60,167.382891
46.216385,60,170.032104
40.373994,60,172.719265
36.428862,60,175.232767
38.157529,60,177.884997
38.881445,60,180.69513
38.181639,60,183.556843
48.08579,60,186.461528
45.244584,60,189.317692
36.930766,60,191.898273
43.441132,60,194.555946
42.553602,60,197.220787
40.70543,60,199.955381
41.249777,60,202.536973
39.55538,60,205.186081
38.199236,60,208.015188
40.677909,60,210.84867
39.140403,60,213.522418
36.915957,60,216.270159
46.909698,60,218.911374
38.942462,60,221.556874
48.634279,60,224.212991
41.086254,60,227.085485
43.026972,60,229.774149
43.146464,60,232.319888
39.913401,60,234.964427
41.229823,60,237.608979
43.548093,60,240.220034
46.328525,60,242.862108
41.345965,60,245.537592
37.90864,60,248.07402
43.295945,60,250.811924
37.524273,60,253.406985
44.150284,60,256.064346
38.246471,60,258.629041
42.120057,60,261.290221
37.895044,60,263.908089
42.181754,60,266.611664
38.279798,60,269.320904
39.20146,60,271.978323
41.00101,60,274.661839
41.109008,60,277.253341
45.373865,60,279.896172
39.563545,60,282.492757
39.148237,60,285.239487
41.326004,60,287.896899
43.662459,60,290.576226
45.158218,60,293.219837
42.103274,60,295.853221
38.133555,60,298.535052
42.760062,60,301.163142
40.470109,60,303.780286
43.466765,60,306.405369
39.61098,60,309.009325
39.792807,60,311.724673
38.367403,60,314.308977
41.300882,60,316.975465
43.549062,60,319.526635
42.330577,60,322.130805
41.726394,60,324.633344
42.977556,60,327.331647
46.592162,60,330.082571
40.680684,60,332.745559
37.965467,60,335.442563
45.279206,60,338.076932
41.60659,60,340.749725
40.534483,60,343.370111
38.718267,60,345.988477
37.646663,60,348.585049
47.538103,60,351.154204
42.108579,60,353.825747
42.074629,60,356.536293
38.337145,60,359.200688
36.495803,60,361.888485
42.090404,60,364.584693
39.849561,60,367.192697
37.969367,60,369.823895
36.850202,60,372.386292
39.644377,60,375.080855
36.367638,60,377.687691
41.604801,60,380.310384
41.50826,60,382.852974
47.037949,60,385.720015
41.535308,60,388.416353
39.092993,60,391.13803
43.985282,60,393.654718
41.545967,60,396.443035
41.373526,60,399.121537
40.294074,60,401.701539
39.658378,60,404.331928
36.650379,60,407.051631
39.112602,60,409.660384
44.254941,60,412.330439
40.358873,60,414.883242
44.307163,60,417.503424
37.280255,60,420.369641
38.990234,60,423.02303
39.965017,60,425.630428
40.985758,60,428.320104
43.193078,60,431.007026
38.548317,60,433.57478
38.861835,60,436.266253
44.714901,60,438.887767
37.849382,60,441.723323
38.618257,60,444.410961
45.46342,60,447.079832
37.743671,60,449.523753
45.945633,60,452.032043
36.688926,60,454.68299
39.553055,60,457.325042
42.238776,60,460.027985
40.445419,60,462.630702
41.523056,60,465.335767
40.937162,60,468.003289
42.925481,60,470.623394
42.708822,60,473.310366
44.155777,60,475.995008
41.612043,60,478.642315
37.903288,60,481.384845
43.373291,60,484.169009
41.206205,60,486.859831
43.425991,60,489.484179
44.363479,60,492.043528
42.228556,60,494.672531
39.53486,60,497.252939
39.618417,60,499.889068
45.678643,60,502.574497
46.748613,60,505.094323
45.563679,60,507.435364
37.805318,60,509.753329
42.087534,60,511.882282
42.714228,60,514.046925
44.105396,60,516.221554
40.485084,60,518.443218
39.354398,60,520.558046
41.607483,60,522.705603
42.654413,60,524.767513
42.090335,60,526.868503
42.90622,60,528.968254
41.729211,60,530.999601
40.602316,60,533.218717
37.579098,60,535.22256
40.869168,60,537.358853
43.400585,60,539.32134
43.729762,60,541.463438
45.163246,60,543.713786
44.52177,60,545.791821
40.092585,60,547.885737
39.98824,60,550.1327
41.493551,60,552.462038
38.276144,60,554.754335
40.236575,60,556.870379
40.658273,60,559.124984
41.59189,60,561.249733
38.630363,60,563.294293
38.190426,60,565.523862
40.015277,60,567.664995
36.603724,60,569.752588
37.746829,60,571.863975
43.763993,60,574.059563
41.188812,60,576.443038
41.814478,60,578.662406
41.427299,60,580.762979
37.381816,60,582.962301
39.520102,60,585.081412
42.361034,60,587.305756
39.156385,60,589.45061
40.415549,60,591.54335
41.525376,60,593.795372
40.867453,60,596.276825
43.960665,60,599.04579
41.093571,60,601.717202
37.417213,60,604.481951
40.977495,60,607.249181
40.272527,60,610.028177
41.244736,60,612.671274
40.456841,60,615.37543
41.340697,60,618.044772
35.172239,60,621.092487
42.867341,60,624.203174
38.903275,60,627.235518
50.082707,60,629.854868
42.680334,60,632.58183
46.506169,60,635.347246
48.155887,60,638.148381
