#{"t_start": 1788428913.4613235, "env_id": "None"}
r,l,t
18.183569,60,1.871747
-11.293156,60,3.170468
-6.423851,60,4.349824
-1.801549,60,5.621359
-19.464532,60,6.86473
-17.370001,60,8.03105
24.287617,60,9.479542
-1.125128,60,11.333083
15.651992,60,13.773834
7.567454,60,15.543533
11.926639,60,17.588842
0.31916,60,18.926158
8.977189,60,20.201759
19.149184,60,21.58235
3.15679,60,22.79584
8.067017,60,24.075741
-1.345635,60,25.537475
12.15052,60,27.49229
18.363379,60,29.264545
18.686055,60,31.886231
6.687693,60,34.583928
21.21068,60,36.733943
12.016392,60,38.646462
7.121976,60,40.298401
11.620466,60,41.752672
18.51072,60,43.765128
14.061964,60,45.451362
21.60481,60,47.502386
20.569353,60,49.989011
22.182008,60,51.886732
10.136922,60,53.889882
7.301757,60,56.276899
10.682973,60,58.3142
24.26887,60,60.171151
22.332675,60,62.551441
19.625794,60,64.342917
18.016645,60,66.02823
20.120925,60,67.607316
30.24815,60,69.653286
32.555679,60,71.468591
27.036297,60,73.383083
26.810671,60,75.370552
23.325171,60,77.490992
34.258285,60,79.265549
23.763845,60,80.941221
31.797391,60,82.539383
27.867576,60,84.362149
30.468172,60,86.129179
28.189793,60,89.238625
32.332035,60,92.33861
18.446856,60,94.520078
33.137887,60,97.680927
27.523432,60,99.996095
34.950027,60,102.105408
31.591684,60,103.806911
33.470309,60,105.484874
32.263802,60,107.46437
25.730831,60,110.158361
26.202395,60,112.089378
31.347855,60,114.207321
34.754274,60,116.081446
26.592607,60,118.469124
36.891257,60,120.777512
34.124875,60,123.418288
20.962877,60,125.286934
32.097655,60,127.273649
37.369884,60,129.658319
27.163115,60,131.681579
31.475349,60,134.303106
26.032535,60,136.193995
32.007059,60,138.381806
30.453902,60,140.534133
21.827529,60,142.583416
36.487823,60,144.746483
26.708841,60,146.414924
27.933002,60,148.443499
29.257383,60,151.074807
40.199413,60,152.898539
27.780504,60,154.46165
27.661999,60,155.895045
27.512928,60,157.476476
36.252886,60,159.536267
29.526109,60,161.736078
32.066979,60,163.773947
32.766342,60,165.716279
33.008368,60,167.845104
35.146177,60,169.495191
25.106874,60,171.294529
36.719577,60,173.023367
29.670513,60,175.021894
38.381086,60,176.782183
34.321915,60,178.344721
24.745287,60,180.187055
40.773703,60,182.788588
34.58959,60,185.017162
33.615681,60,186.861541
30.120896,60,188.514376
35.91425,60,190.315964
24.301358,60,191.802626
30.449308,60,193.406189
40.465562,60,195.611729
25.079638,60,197.303772
32.473392,60,199.390579
32.141412,60,201.143483
39.357287,60,203.220445
41.234207,60,205.250275
40.524156,60,207.385604
28.428033,60,209.077399
34.695212,60,210.994431
38.449661,60,212.708236
41.446681,60,214.674327
30.881341,60,216.450916
25.868416,60,218.616195
32.145755,60,220.23504
32.472785,60,222.052641
27.886915,60,223.800588
27.587163,60,226.040642
40.22717,60,228.286443
32.390398,60,230.120577
36.607084,60,232.149691
36.806475,60,233.779353
39.627754,60,235.486363
