#{"t_start": 1788428913.2668192, "env_id": "None"}
r,l,t
7.372695,60,2.048316
15.409365,60,3.346867
-0.981835,60,4.532896
-8.250429,60,5.79781
15.813603,60,7.052319
-1.397648,60,8.219773
-21.532095,60,9.659722
-4.573289,60,11.51457
11.486729,60,13.958131
-8.625683,60,15.703432
9.055013,60,17.777704
14.049983,60,19.106138
12.053307,60,20.377354
10.701781,60,21.763689
2.291271,60,22.985044
5.14965,60,24.258847
7.035859,60,25.72351
15.184444,60,27.67367
20.328383,60,29.439085
23.336524,60,32.064821
20.661464,60,34.764952
14.998638,60,36.907227
15.39939,60,38.818466
19.863611,60,40.482801
17.050954,60,41.933832
24.985692,60,43.939945
25.704991,60,45.633826
12.795077,60,47.678194
22.966,60,50.157732
14.91356,60,52.07163
25.357115,60,54.067328
14.388086,60,56.459513
26.061396,60,58.489067
29.849258,60,60.356155
19.630734,60,62.728501
17.054856,60,64.518604
16.477674,60,66.209169
20.533689,60,67.792813
27.358069,60,69.829113
18.854395,60,71.646668
22.243711,60,73.571785
18.543166,60,75.552852
21.262334,60,77.667349
28.53464,60,79.448883
25.023367,60,81.128142
22.831916,60,82.722764
20.03775,60,84.537159
15.934111,60,86.303693
31.110971,60,89.392019
32.871203,60,92.510373
26.664621,60,94.692115
30.513471,60,97.852587
23.740675,60,100.177834
33.595769,60,102.289519
33.569906,60,103.989441
22.049502,60,105.667642
34.404628,60,107.647241
34.196063,60,110.338907
31.779192,60,112.267488
23.493648,60,114.391589
31.376963,60,116.2532
36.178164,60,118.641924
30.698888,60,120.956931
24.894306,60,123.595558
28.705676,60,125.474576
31.376193,60,127.454789
34.109734,60,129.838911
21.55116,60,131.864935
25.283414,60,134.482576
32.518427,60,136.378987
38.948284,60,138.562301
33.399998,60,140.714496
37.099306,60,142.755412
34.444733,60,144.929391
27.365308,60,146.597229
39.172116,60,148.627442
32.89618,60,151.255718
25.075243,60,153.072524
17.613969,60,154.640417
31.416302,60,156.078148
38.037508,60,157.662482
37.218463,60,159.715744
29.087016,60,161.915488
19.500749,60,163.961472
26.807085,60,165.904756
40.201906,60,168.025919
37.365783,60,169.672256
36.002202,60,171.47707
29.857666,60,173.19577
39.535125,60,175.203846
38.810596,60,176.965804
30.222061,60,178.523445
33.481908,60,180.369384
32.41695,60,182.96454
38.841695,60,185.199951
43.591738,60,187.039383
38.278895,60,188.6995
37.403564,60,190.499195
29.843395,60,191.985489
34.673639,60,193.591121
38.030457,60,195.793702
37.138718,60,197.479651
29.499815,60,199.574993
32.790415,60,201.329266
34.693387,60,203.397152
33.829692,60,205.431304
33.336931,60,207.568175
36.671782,60,209.255574
39.040583,60,211.181649
39.799503,60,212.893091
44.084734,60,214.857349
30.074046,60,216.633448
40.732231,60,218.785091
38.330309,60,220.416696
34.003608,60,222.232766
33.747272,60,223.984833
29.74747,60,226.218982
39.057573,60,228.463368
36.342095,60,230.2964
34.569068,60,232.331961
41.309842,60,233.962961
35.710144,60,235.671247
31.023331,60,237.359855
37.137306,60,239.304968
39.468417,60,241.140952
39.701914,60,242.935383
29.147461,60,245.066932
33.190965,60,247.246368
27.611001,60,249.712713
38.097376,60,251.48223
36.926477,60,253.151807
31.222118,60,254.788486
33.930688,60,256.467148
33.01413,60,258.117539
31.42382,60,259.752124
40.750339,60,261.395165
40.387936,60,263.547299
30.494838,60,265.310218
40.178352,60,267.189684
23.485661,60,269.241343
26.94922,60,271.230139
34.219566,60,272.845142
31.567601,60,274.573002
27.526697,60,276.102748
38.979427,60,277.838637
35.397292,60,280.168015
30.029114,60,281.876187
37.653663,60,284.323852
41.558677,60,286.546984
38.499369,60,288.771959
39.313658,60,291.130276
37.691734,60,293.468973
36.708619,60,295.985293
39.422818,60,298.676861
34.223062,60,302.129437
45.797748,60,304.699122
42.813035,60,306.908886
36.268001,60,309.243155
41.271905,60,311.74207
43.270176,60,313.891019
42.959462,60,315.732535
34.365338,60,317.852851
37.260421,60,320.310482
36.662733,60,322.659147
36.359203,60,325.073099
35.568295,60,327.500499
41.11287,60,329.734704
37.855875,60,331.813482
35.99576,60,334.031667
35.66771,60,335.943234
42.178139,60,338.319471
34.555857,60,340.214904
38.000296,60,342.840114
40.291863,60,345.385129
25.892777,60,347.437345
38.745122,60,350.11492
39.655889,60,353.482831
40.032823,60,356.240977
39.799524,60,358.323097
38.251706,60,360.887273
39.787026,60,363.07276
39.850669,60,365.651585
29.866256,60,367.871192
43.353407,60,382.5636
36.716122,60,388.098032
41.122331,60,391.667995
30.71575,60,394.385384
40.82965,60,397.268977
39.000639,60,399.037302
40.050533,60,400.742151
40.741952,60,402.4196
39.913216,60,404.529342
42.180083,60,406.570353
38.038302,60,408.271703
41.108106,60,410.280627
43.898041,60,412.06791
40.402808,60,415.552438
38.597061,60,418.898744
41.74513,60,422.444088
36.847324,60,424.236172
38.349732,60,426.32432
42.536606,60,428.608916
44.04836,60,430.591922
40.389931,60,432.705343
39.7421,60,435.12415
36.175388,60,437.245352
40.534741,60,439.474514
31.230867,60,442.269651
42.588429,60,444.209919
43.336032,60,446.223206
44.53661,60,448.053303
34.78168,60,449.667528
37.462574,60,451.365495
39.53685,60,453.662936
43.837298,60,455.578625
38.87345,60,457.448585
33.177923,60,459.716709
41.785502,60,462.053496
40.001659,60,463.849405
40.482636,60,465.636361
37.894353,60,467.827431
38.709842,60,470.212431
43.655829,60,472.453297
41.785418,60,474.407266
41.529601,60,476.539915
38.355327,60,478.978111
38.033718,60,481.295932
37.552802,60,483.773501
40.511076,60,485.822457
39.427879,60,487.752433
35.956377,60,489.961756
40.453104,60,492.226152
38.29463,60,494.358325
42.75771,60,496.285727
37.727099,60,498.183579
40.597759,60,500.765116
41.330562,60,503.97942
39.018663,60,507.022541
41.084602,60,510.09154
40.63868,60,512.306548
44.480103,60,514.933199
37.95806,60,517.492066
37.330129,60,519.835788
40.918628,60,522.3836
38.044883,60,525.19454
42.353557,60,527.738968
39.710752,60,529.966107
44.27885,60,532.555611
42.174233,60,534.728992
43.097282,60,537.167686
39.968089,60,539.623849
41.843333,60,542.32129
38.894999,60,544.74554
45.397428,60,547.395622
43.782998,60,549.362632
39.844154,60,551.463573
42.436196,60,554.117045
42.339561,60,556.848939
39.471806,60,559.500574
45.063695,60,562.086188
41.468589,60,564.727555
42.88146,60,567.721421
43.682585,60,570.558772
39.759118,60,573.635102
40.786943,60,578.244013
38.193924,60,582.065187
36.628126,60,585.188911
43.183256,60,587.646518
41.013053,60,590.070361
37.552452,60,593.538397
44.575863,60,596.958067
45.732071,60,599.521035
43.348677,60,601.8078
40.939191,60,604.317716
