UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_003,0.488,13.761,8.411,-63.819,0.001,224.131,1.364,2.0,-87.0,0.0016,0.0,0.0,64.44,2.99,5G_NR
UE_004,0.612,13.253,6.253,-63.173,0.001,178.808,1.416,2.8,-6.4,0.002,0.0,0.0,56.89,2.38,5G_NR
UE_005,0.416,22.718,18.368,-59.241,1e-07,459.197,1.207,1.6,-15.9,0.0014,0.0,0.0,99.29,6.12,5G_NR
UE_006,0.387,16.476,12.126,-61.462,1e-05,308.543,1.144,2.2,-16.0,0.0013,0.0,0.0,77.44,4.11,5G_NR
UE_007,0.56,18.228,12.228,-60.886,1e-05,310.948,1.136,0.1,-11.4,0.0019,0.0,0.0,77.8,4.15,5G_NR
UE_008,0.155,35.59,30.94,-51.605,0.0,770.949,1.075,1.5,17.9,0.0005,0.0,0.0,100.0,10.28,5G_NR
UE_009,0.299,30.63,26.08,-55.185,0.0,650.041,1.03,2.5,-1.8,0.001,0.0,0.0,100.0,8.67,5G_NR
UE_010,0.493,19.408,14.858,-59.396,1e-05,373.648,1.384,0.8,-24.3,0.0016,0.0,0.0,87.0,4.98,5G_NR
UE_011,0.474,16.418,9.268,-61.691,0.001,243.003,1.457,2.3,74.2,0.0016,0.0,0.0,67.44,3.24,5G_NR
UE_012,0.857,7.737,3.987,-66.832,0.01,135.678,1.436,9.0,62.9,0.0029,0.0,0.0,48.95,1.81,5G_NR
UE_013,0.75,14.565,7.065,-63.117,0.001,195.441,1.29,1.3,80.3,0.0025,0.0,0.0,59.73,2.61,5G_NR
UE_014,0.422,17.12,11.07,-61.84,1e-05,283.951,1.192,2.9,21.1,0.0014,0.0,0.0,73.75,3.79,5G_NR
UE_015,0.569,13.53,5.48,-63.935,0.001,163.503,1.147,0.1,151.6,0.0019,0.0,0.0,54.18,2.18,5G_NR
UE_016,0.982,2.8,-4.4,-67.7,0.1,33.517,1.343,25.0,47.7,0.0033,0.0,0.0,19.6,0.45,5G_NR
UE_017,0.445,16.409,8.959,-62.196,0.001,236.15,1.414,0.5,114.3,0.0015,0.0,0.0,66.36,3.15,5G_NR
UE_018,0.203,32.02,23.77,-54.49,0.0,592.677,1.025,1.1,-107.2,0.0007,0.0,0.0,100.0,7.9,5G_NR
UE_019,0.378,21.552,15.152,-60.224,1e-05,380.759,1.358,0.5,-128.9,0.0013,0.0,0.0,88.03,5.08,5G_NR
UE_000,0.357,26.327,19.677,-57.137,1e-07,491.399,1.226,1.3,7.3,0.0012,0.0,0.0,100.0,6.55,5G_NR
UE_001,0.478,20.425,14.525,-60.788,1e-05,365.626,1.298,0.5,-94.4,0.0016,0.0,0.0,85.84,4.88,5G_NR
UE_002,0.403,18.729,14.829,-60.636,1e-05,372.956,1.475,2.4,7.3,0.0013,0.0,0.0,86.9,4.97,5G_NR
UE_003,0.509,15.149,9.999,-62.125,0.001,259.441,1.216,2.6,-87.0,0.0017,0.0,0.0,70.0,3.46,5G_NR
UE_004,0.631,7.35,3.0,-65.925,0.01,118.696,1.208,9.0,-6.4,0.0021,0.0,0.0,45.5,1.58,5G_NR
UE_005,0.432,16.022,12.022,-62.789,1e-05,306.102,1.528,1.7,-15.9,0.0014,0.0,0.0,77.08,4.08,5G_NR
UE_006,0.415,21.302,17.552,-59.749,1e-07,439.191,1.221,1.4,-16.0,0.0014,0.0,0.0,96.43,5.86,5G_NR
UE_007,0.557,18.133,13.233,-60.634,1e-05,334.704,1.506,2.3,-11.4,0.0019,0.0,0.0,81.31,4.46,5G_NR
UE_008,0.156,42.174,34.624,-48.113,0.0,862.67,1.161,1.6,17.9,0.0005,0.0,0.0,100.0,11.5,5G_NR
UE_009,0.361,23.671,16.871,-58.664,1e-07,422.535,1.246,2.0,-1.8,0.0012,0.0,0.0,94.05,5.63,5G_NR
UE_010,0.516,19.566,14.966,-60.117,1e-05,376.276,1.502,2.4,-24.3,0.0017,0.0,0.0,87.38,5.02,5G_NR
UE_011,0.487,13.379,8.829,-64.01,0.001,233.291,1.164,1.7,74.2,0.0016,0.0,0.0,65.9,3.11,5G_NR
UE_012,0.753,6.902,2.302,-66.949,0.01,107.431,1.23,8.0,62.9,0.0025,0.0,0.0,43.06,1.43,5G_NR
UE_013,0.656,14.933,8.983,-62.534,0.001,236.674,1.196,2.7,80.3,0.0022,0.0,0.0,66.44,3.16,5G_NR
UE_014,0.403,21.038,13.488,-59.781,1e-05,340.777,1.485,0.1,21.1,0.0013,0.0,0.0,82.21,4.54,5G_NR
UE_015,0.538,20.082,11.732,-59.859,1e-05,299.315,1.539,2.3,151.6,0.0018,0.0,0.0,76.06,3.99,5G_NR
UE_016,0.922,4.988,-0.762,-66.806,0.1,65.922,1.112,20.0,47.7,0.0031,0.0,0.0,32.33,0.88,5G_NR
UE_017,0.379,21.708,17.958,-58.846,1e-07,449.121,1.063,2.7,114.3,0.0013,0.0,0.0,97.85,5.99,5G_NR
UE_018,0.217,34.002,30.702,-53.399,0.0,765.02,1.307,0.1,-107.2,0.0007,0.0,0.0,100.0,10.2,5G_NR
UE_019,0.262,34.964,28.164,-53.418,0.0,701.867,1.291,2.3,-128.9,0.0009,0.0,0.0,100.0,9.36,5G_NR
UE_000,0.317,19.997,14.697,-60.702,1e-05,369.766,1.147,0.4,7.3,0.0011,0.0,0.0,86.44,4.93,5G_NR
UE_001,0.382,25.317,19.917,-57.141,1e-07,497.326,1.448,0.3,-94.4,0.0013,0.0,0.0,100.0,6.63,5G_NR
UE_002,0.519,18.336,13.586,-61.132,1e-05,343.128,1.122,1.7,7.3,0.0017,0.0,0.0,82.55,4.58,5G_NR
UE_003,0.45,23.093,18.543,-58.354,1e-07,463.491,1.44,1.0,-87.0,0.0015,0.0,0.0,99.9,6.18,5G_NR
UE_004,0.651,12.267,9.317,-62.966,0.001,244.104,1.505,0.7,-6.4,0.0022,0.0,0.0,67.61,3.25,5G_NR
UE_005,0.45,19.672,13.472,-59.264,1e-05,340.418,1.3,1.9,-15.9,0.0015,0.0,0.0,82.15,4.54,5G_NR
UE_006,0.607,11.187,6.137,-63.606,0.001,176.473,1.481,1.0,-16.0,0.002,0.0,0.0,56.48,2.35,5G_NR
UE_007,0.554,10.657,7.357,-64.771,0.001,201.551,1.12,1.5,-11.4,0.0018,0.0,0.0,60.75,2.69,5G_NR
UE_008,0.159,43.897,38.897,-48.851,0.0,969.113,1.196,2.0,17.9,0.0005,0.0,0.0,100.0,12.92,5G_NR
