#{"t_start": 1788430954.4409485, "env_id": "None"}
r,l,t
-5.235659,60,1.212481
2.060067,60,2.197409
-0.599808,60,3.224585
-13.535729,60,4.660542
15.444478,60,6.82472
-6.67815,60,8.642646
-1.268009,60,11.019969
9.27714,60,14.246656
10.42262,60,16.437183
5.201556,60,18.115836
4.387965,60,19.63369
7.381626,60,21.361024
-0.819924,60,22.785455
12.24806,60,24.233348
5.031701,60,25.956461
11.318788,60,28.051883
15.97035,60,30.495465
22.594365,60,33.010034
21.087892,60,34.448839
20.686783,60,35.944292
11.649452,60,37.434921
30.839084,60,38.957627
8.399285,60,40.461384
36.432545,60,42.603338
-9.855657,60,44.138299
5.14199,60,46.204904
27.407662,60,48.494837
8.705182,60,50.815684
16.753917,60,53.074312
19.31817,60,54.760566
8.677707,60,56.266573
34.003162,60,58.048789
38.431361,60,60.06783
17.412551,60,61.843302
25.081199,60,64.131494
39.590107,60,65.726351
34.702334,60,67.797534
35.266692,60,70.25146
38.914446,60,72.648202
40.654382,60,75.24901
42.879664,60,77.938643
41.064254,60,80.654648
47.129381,60,85.879521
38.767936,60,89.165296
41.13115,60,91.310766
47.234062,60,93.691949
44.092128,60,95.785949
41.559704,60,97.910895
43.980571,60,100.481142
43.388222,60,102.562209
41.213412,60,104.558006
44.211825,60,106.83776
41.194546,60,108.9411
39.775102,60,111.236302
43.182326,60,113.741207
40.341333,60,116.395284
42.363446,60,118.805928
43.277287,60,120.921104
46.825547,60,123.18082
43.146239,60,125.093632
44.210336,60,127.351127
48.314927,60,129.768376
43.376834,60,132.261951
43.719371,60,135.331132
42.504506,60,137.997261
44.458549,60,140.276633
45.263651,60,142.473624
43.910555,60,144.70754
45.863097,60,147.107183
45.443409,60,149.90049
45.991598,60,152.634983
41.618695,60,154.92076
43.519737,60,157.144491
39.484011,60,159.377645
38.195798,60,161.857476
47.152334,60,164.245839
45.22686,60,166.378681
41.488444,60,168.259659
45.378775,60,170.014307
44.70347,60,171.898668
47.964955,60,174.107427
40.776199,60,176.393404
44.270139,60,178.597225
46.231807,60,180.707189
41.4212,60,182.393915
44.435116,60,184.210784
44.841319,60,185.888688
47.789037,60,187.537363
41.726787,60,189.242693
46.736839,60,191.068046
50.56132,60,192.778452
44.222681,60,194.430821
40.778145,60,196.002557
45.206705,60,197.611149
45.86272,60,199.478337
46.787835,60,202.150317
48.45171,60,204.200542
48.290824,60,206.208797
41.149132,60,208.334661
48.530747,60,210.455065
43.321999,60,212.6784
46.995235,60,214.431011
42.843554,60,216.475733
46.96772,60,218.217583
44.294763,60,220.112846
43.894024,60,222.028303
40.090829,60,224.018182
41.616155,60,225.703467
45.330303,60,227.744412
45.711871,60,229.575704
53.293264,60,231.580903
42.61106,60,233.566155
41.303269,60,235.40171
43.83022,60,237.437637
39.045217,60,239.451674
44.354331,60,241.550141
45.771447,60,243.402056
42.851652,60,245.492272
43.468384,60,247.792206
45.775552,60,249.934667
44.820011,60,252.506101
44.47793,60,254.313563
48.392062,60,256.639047
45.875153,60,258.3372
43.083822,60,260.8629
43.639049,60,263.881711
42.877751,60,267.230376
45.044271,60,269.206986
45.933836,60,270.928578
43.24694,60,272.985623
37.498161,60,274.956257
47.122574,60,276.640125
46.317473,60,278.613367
41.854422,60,280.653892
42.546625,60,282.72081
42.136683,60,285.015335
46.135653,60,287.810526
42.941562,60,291.468749
46.412678,60,293.593619
42.863164,60,295.65363
44.563021,60,297.738198
40.830084,60,299.837409
45.131711,60,302.872005
45.064773,60,305.142146
43.826287,60,307.285062
44.767868,60,309.462821
44.404589,60,311.320277
42.505825,60,313.235538
45.697042,60,315.03848
42.26134,60,316.999857
46.105542,60,319.546513
42.535446,60,322.268361
42.50019,60,324.72258
47.144246,60,326.538567
37.752121,60,328.412041
49.052969,60,330.360451
44.151008,60,332.225406
43.737464,60,334.127141
44.513679,60,336.098932
46.882017,60,337.958335
48.620913,60,339.762833
44.347325,60,341.919492
42.689427,60,344.312098
46.924613,60,346.820772
38.097759,60,349.410007
44.222367,60,352.004589
45.346675,60,353.970898
41.485644,60,356.015253
44.300773,60,358.214844
39.177288,60,360.373319
47.048005,60,362.537632
40.69695,60,364.644415
48.922987,60,366.603498
44.582012,60,369.010989
35.32197,60,371.235879
44.570888,60,373.291512
45.09572,60,375.401557
41.160889,60,377.350837
44.194313,60,379.63064
45.958738,60,381.805994
44.5513,60,383.717841
45.672482,60,385.728784
42.864472,60,388.191619
49.892216,60,390.926437
42.059199,60,393.325625
46.50609,60,395.4172
42.62563,60,397.501902
46.428829,60,399.543748
43.407446,60,401.882549
43.180152,60,404.077521
45.38097,60,406.225782
45.166483,60,408.637812
46.644677,60,411.216028
45.215633,60,414.214642
43.223792,60,416.715195
46.750946,60,418.775227
44.45506,60,420.898522
37.976737,60,423.898173
46.15164,60,429.675716
43.468386,60,435.091067
47.514178,60,437.867285
47.273581,60,440.617904
47.427533,60,442.688719
44.543507,60,444.728396
42.940814,60,446.747249
44.343258,60,449.572437
46.480162,60,452.488963
44.744353,60,455.155568
46.212886,60,457.948457
46.574697,60,460.02909
48.55387,60,462.166916
43.252259,60,463.859428
44.234189,60,465.613899
47.276577,60,467.250938
44.874045,60,469.039526
41.32051,60,471.062322
41.68106,60,473.414126
47.605693,60,475.874887
43.203692,60,478.305333
45.562386,60,480.343712
44.815023,60,482.174886
42.0119,60,484.001826
41.007035,60,485.742991
43.364829,60,488.045742
