policy,n,reward_mean,reward_ci_low,reward_ci_high,switch_rate_mean,outage_rate_mean
dqn,600,43.619602491554495,43.39602694982372,43.84874779722456,0.13224999999999998,0.0
greedy,200,38.629275316330094,38.42263636731635,38.84448707162411,0.2075,0.0
hysteresis,200,40.001030011829435,39.75784754424043,40.259954232088475,0.08233333333333334,0.0
oracle,200,45.2742195215409,44.90369216271169,45.661020756216274,0.04758333333333333,0.0
ppo,600,44.21042059454387,44.00260093266647,44.42614420996514,0.05497222222222222,0.0
random,200,4.272792910413764,3.1856811894953485,5.306558991817392,0.4134166666666667,0.33166666666666667
