row_id,UE_ID,time_s,network_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
0,UE_000000,0.0,WiFi6_5GHz,0.0066,25.80221288363829,20.998851152526544,-61.142074440670385,5.875111500328167e-10,22.441588533051046,0.303846963286589,5.400680360777216,16.880549408187484,2.2015230283078032e-05,0.0,0.0,73.44661761073345,5.4
0,UE_000000,0.01,WiFi6_5GHz,0.0066,25.361501318559213,20.476543815773475,-61.58278600574946,4.7709664096174075e-09,21.348350258692847,0.42374416973201534,7.481879760512619,16.94567476469616,2.2015230283078032e-05,0.0,0.0,70.57994971904922,5.4
0,UE_000000,0.02,WiFi6_5GHz,0.0066,24.829213858538246,19.990666577592222,-62.11507346577043,2.7186654311722672e-08,16.941752426393244,0.38645061747723014,0.7708686153351075,17.123222534963762,2.2015230283078032e-05,0.0,0.0,74.39851498247921,4.199999999999999
0,UE_000000,0.03,WiFi6_5GHz,0.0066,25.21607084202674,20.18691398780499,-61.72821648228194,1.3770661669138116e-08,20.84390762659643,0.32026224199575165,8.933075754239336,17.224611616320324,2.2015230283078032e-05,0.0,0.0,68.76747815383297,5.4
0,UE_000000,0.04,WiFi6_5GHz,0.0066,24.872565756508266,19.68610468774478,-62.07172156780041,7.377658595022478e-08,16.867694412162184,0.45475202524350344,0.9427727922694115,17.22196548218769,2.2015230283078032e-05,0.0,0.0,73.50818212515989,4.199999999999999
0,UE_000000,0.05,WiFi6_5GHz,0.0066,21.293384161678787,16.068401570984552,-65.65090316262989,0.00019706521592877072,15.39870928295425,0.35683586274238227,9.597011091316558,17.468184563497672,2.2015230283078032e-05,0.0,0.0,57.97324560897397,4.199999999999999
0,UE_000000,0.06,WiFi6_5GHz,0.0066,25.328312127263715,20.12242506277627,-61.61597519704496,1.7276638041149433e-08,19.84386065290534,0.3572624786306341,9.289054251452814,17.301388503582068,2.2015230283078032e-05,0.0,0.0,68.33927196835107,5.4
0,UE_000000,0.07,WiFi6_5GHz,0.0066,27.166993596436207,21.976901052645506,-59.77729372787247,5.623584844203708e-12,23.159098124452925,0.38875890482265507,2.88839861042721,17.18546136910038,2.2015230283078032e-05,0.0,0.0,77.77595367379337,5.4
0,UE_000000,0.08,WiFi6_5GHz,0.0066,24.604251199846246,19.403543397473154,-62.34003612446243,1.7566053473773878e-07,18.966421258547914,0.3589917598149214,1.1359756729347714,17.027103784009007,2.2015230283078032e-05,0.0,0.0,72.65687673898181,4.199999999999999
0,UE_000000,0.09,WiFi6_5GHz,0.0066,20.757005548333282,15.425085171574818,-66.18728177597539,4.7915228395053185e-08,15.318771391286786,0.3076330301838953,1.1199597077937966,16.870819684234444,2.2015230283078032e-05,0.0,0.0,62.722743148091695,3.6
0,UE_000000,0.1,WiFi6_5GHz,0.0066,19.24971410976211,14.1198887376895,-67.69457321454657,2.0595047699530342e-06,14.976759838358266,0.31979673970876854,2.6326916792031385,16.88668594546457,2.2015230283078032e-05,0.0,0.0,58.3252030848214,3.6
0,UE_000000,0.11,WiFi6_5GHz,0.0066,23.32697329909825,18.085603156504064,-63.617314025210426,5.260451485633898e-06,16.273734749510357,0.3751639532670167,2.691921709328227,17.006544564057002,2.2015230283078032e-05,0.0,0.0,68.19506660926399,4.199999999999999
0,UE_000000,0.12,WiFi6_5GHz,0.0066,25.921440158091073,20.76638302353267,-61.0228471662176,1.5382959657365686e-09,18.574687677609223,0.3971804589628788,6.2494352273970915,16.862476818783485,2.2015230283078032e-05,0.0,0.0,72.22888113828387,5.4
0,UE_000000,0.13,WiFi6_5GHz,0.0066,26.133543437644526,20.86143992547227,-60.81074388666415,1.0440959443648698e-09,17.561273870925806,0.31273498560409263,5.888284386482906,16.779382193540883,2.2015230283078032e-05,0.0,0.0,72.73738652381849,5.4
0,UE_000000,0.14,WiFi6_5GHz,0.0066,20.351901116721734,15.014813322596968,-66.59238620758694,1.7611435996458727e-07,12.829872919383662,0.4072234762529724,1.467103922812754,16.595147567068004,2.2015230283078032e-05,0.0,0.0,61.43670536438285,3.6
0,UE_000000,0.15,WiFi6_5GHz,0.0066,23.190637774658228,17.784858080714624,-63.75364954965045,1.0042308206846082e-05,13.821149912655601,0.32893092446863875,3.270011522473605,16.65875295129003,2.2015230283078032e-05,0.0,0.0,67.00963655993137,4.199999999999999
